Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Ann-Marie Kearns Acupuncturist","Swords Plaza Main Street, Swords,, Co. Dublin, Ireland","Swords,",Dublin,,IE,"087 618 5185",,"health, establishment",,http://annmariekearnsacupuncture.weebly.com/,53.45761,-6.220622,"Google Places",ChIJSb3Gtu8QZ0gRBYKI5yozkqw,
"The Meridian Acupuncture Clinic","175 Kimmage Road Lower, Kimmage, Dublin 6W, Co. Dublin, Ireland","Dublin 6W",Dublin,,IE,"087 901 9627",,"health, establishment","Monday: 12:00 – 8:00 pm
Tuesday: 12:00 – 8:00 pm
Wednesday: 12:00 – 8:00 pm
Thursday: 12:00 – 8:00 pm
Friday: 12:00 – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.meridian-acupuncture-clinic.com/,53.319325,-6.290981,"Google Places",ChIJfRR1KXMMZ0gRxU_Ocno4HGg,
"Equilibre Acupuncture","Morrison Chambers, 32 Nassau Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"083 402 9467",4.9,"health, establishment","Monday: 8:00 am – 10:00 pm
Tuesday: 8:00 am – 10:00 pm
Wednesday: 8:00 am – 10:00 pm
Thursday: 8:00 am – 10:00 pm
Friday: 8:00 am – 10:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: Closed",http://www.equilibreacupuncture.ie/,53.34284,-6.257489,"Google Places",ChIJl13Mq5sOZ0gR1VRjM92uMGM,
"Melt Natural Healing Centre","2 Temple Lane South, Dublin 2, Ireland","Dublin 2","Co. Dublin",,IE,"(01) 679 8786",,"beauty_salon, health, establishment","Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 9:00 pm
Saturday: 10:00 am – 7:00 pm
Sunday: 10:00 am – 7:00 pm",http://www.meltonline.com/,53.34453,-6.264382,"Google Places",ChIJrS-91JwOZ0gRtm7P7ZgrLCM,"dublin_aromatherapist.csv
dublin_herbalist.csv
dublin_masseur.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv
dublin_reflexologist.csv
dublin_yoga.csv"
"Dan Tien Acupuncture","31 Bride Street, Dublin, Ireland",Dublin,Dublin,,IE,"087 961 8344",,"health, establishment","Monday: 10:30 am – 7:00 pm
Tuesday: 10:30 am – 7:00 pm
Wednesday: 10:30 am – 7:00 pm
Thursday: 10:30 am – 7:00 pm
Friday: 10:30 am – 7:00 pm
Saturday: 2:00 – 5:00 pm
Sunday: Closed",http://dan-tien.ie/,53.341072,-6.270427,"Google Places",ChIJG4IIIycMZ0gRXL8_2scvvPY,"dublin_allergy.csv
dublin_masseur.csv
dublin_physical_therapist.csv"
Acu,"1 Fitzwilliam Street Upper, Dublin 2, Ireland","Dublin 2",Dublin,,IE,,4.8,"health, establishment",,https://plus.google.com/105247287592406531252/about?hl=en,53.336735,-6.249375,"Google Places",ChIJkTsNCpwOZ0gRfCybEyAsyvA,
"Equilibre Acupuncture Clinic, Blackrock","7 Rockville Road, Blackrock, Co. Dublin, Ireland",,Dublin,,IE,"083 402 9467",,"health, establishment","Monday: 9:00 am – 10:00 pm
Tuesday: 9:00 am – 10:00 pm
Wednesday: 9:00 am – 10:00 pm
Thursday: 9:00 am – 10:00 pm
Friday: 9:00 am – 10:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: Closed",http://www.equilibreacupuncture.ie/,53.290577,-6.172277,"Google Places",ChIJFQEzVusIZ0gRPvKhi81_xhQ,
"Acupuncture & Allergy Testing Clinic","564 Howth Rd, Raheny, Co. Dublin, Ireland",Raheny,Dublin,,IE,"(01) 851 0285",,"health, establishment","Monday: Closed
Tuesday: 5:00 – 9:00 pm
Wednesday: 3:30 – 9:00 pm
Thursday: 9:00 am – 1:00 pm, 5:00 – 9:00 pm
Friday: Closed
Saturday: 9:00 am – 12:00 pm
Sunday: Closed",http://www.daatc.com/,53.38039,-6.172471,"Google Places",ChIJCWwcjYwPZ0gRqOa_s-S7yEM,dublin_allergy.csv
"Karen Costin Acupuncture","55 Ranelagh, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"087 262 3287",4.7,"health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 9:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 9:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 9:00 am – 8:00 pm
Sunday: Closed",http://www.karencostin.ie/,53.324634,-6.253746,"Google Places",ChIJpwLzz68OZ0gRsVJfkl_WQrg,
"Donaghmede Acupuncture Clinic, Dublin 13","The Grange Clinic, Grange Road, Dublin 13, Ireland","Dublin 13",Dublin,,IE,"(01) 848 0033",,"health, establishment","Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 2:00 – 8:00 pm
Friday: Closed
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.tcmireland.ie/,53.394627,-6.164201,"Google Places",ChIJo9B2D9wQZ0gRTABh7RD8acg,dublin_herbalist.csv
