Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Allergy Skin Testing Blackrock Clinic","Blackrock Clinic, Rock Rd, Co. Dublin, Co. Dublin, Ireland","Co. Dublin",Dublin,,IE,"(01) 288 8375",,"hospital, establishment",,http://www.allergytestingblackrockclinic.ie/,53.304762,-6.18806,"Google Places",ChIJ4fWJSMUIZ0gReAdnDijZTwg,
"allergy testing clinic","106 Nutgrove Avenue, Rathfarnham, Co. Dublin, Ireland",Rathfarnham,Dublin,,IE,"086 836 2705",,"health, establishment",,http://www.daatc.com/,53.292429,-6.272117,"Google Places",ChIJwZeGQegLZ0gRKuK289eMn6c,dublin_acupuncturist.csv
"Acupuncture & Allergy Testing Clinic","564 Howth Rd, Raheny, Co. Dublin, Ireland",Raheny,Dublin,,IE,"(01) 851 0285",,"health, establishment","Monday: Closed
Tuesday: 5:00 – 9:00 pm
Wednesday: 3:30 – 9:00 pm
Thursday: 9:00 am – 1:00 pm, 5:00 – 9:00 pm
Friday: Closed
Saturday: 9:00 am – 12:00 pm
Sunday: Closed",http://www.daatc.com/,53.38039,-6.172471,"Google Places",ChIJCWwcjYwPZ0gRqOa_s-S7yEM,dublin_acupuncturist.csv
"Mitex Anti Allergy","5B Adelaide Court, Albert Rd, Glenageary, Co. Dublin, Ireland",Glenageary,Dublin,,IE,"(01) 280 2800",,establishment,,http://www.mitex.ie/,53.281256,-6.120951,"Google Places",ChIJtdlu6yQGZ0gR6w2RZfwotCw,
"Advanced Allergy Testing @ The Health Shoppe","Merrion Shopping Centre, Nutley Lane, Ballsbridge, Co. Dublin, Ireland",Ballsbridge,Dublin,,IE,"(01) 206 6565",,establishment,,https://plus.google.com/108822848336616163757/about?hl=en,53.3188,-6.213884,"Google Places",ChIJb-RYhdMOZ0gRd-MqkxpjHw4,
"Charlemont Respiratory & Allergy Diagnostic Services","Charlemont Clinic, Charlemont Mall, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 418 8482",,"health, establishment",,http://www.allergycounts.com/,53.330849,-6.261122,"Google Places",ChIJOSWjHqEOZ0gRuQ4jU085sYk,
"Allergy and Treatment Clinic","20 Saint Olave's, Malahide Road, KInsealy, Co. Dublin, Ireland",KInsealy,Dublin,,IE,"(01) 846 4058",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: Closed",http://www.allergyandtreatmentclinic.com/,53.42562,-6.175694,"Google Places",ChIJ6UkcWTA6Z0gR0Va5kchlpEI,
"The Clontarf Allergy Clinic","63 Clontarf Rd, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 833 8207",,establishment,,http://www.clontarfclinic.com/,53.36245,-6.217205,"Google Places",ChIJBSrcxlQOZ0gR4U2Jp5mKTco,
"Lalloos Acupuncture & Allergy Testing Clinics","30 Porter's Gate Heights, Dublin 15, Ireland","Dublin 15",Dublin,,IE,"086 836 6128",,"doctor, health, establishment","Monday: 9:00 am – 7:30 pm
Tuesday: 9:00 am – 7:30 pm
Wednesday: 9:00 am – 7:30 pm
Thursday: 9:00 am – 7:30 pm
Friday: 9:00 am – 7:30 pm
Saturday: 9:00 am – 1:00 pm
Sunday: Closed",http://www.acupunctureallergytesting.com/,53.387091,-6.420492,"Google Places",ChIJm56dap9yZ0gR-AgzQqifki0,
"Terenure Allergy Test Clinic","4 Ashfield Park, Terenure, Dublin 6W, Co. Dublin, Ireland","Dublin 6W",Dublin,,IE,"085 144 5494",,"doctor, health, establishment",,http://www.allergytestinginireland.com/,53.314894,-6.283904,"Google Places",ChIJC5wrygsMZ0gRTgRRYAzApy0,dublin_meditation.csv
