Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Nurture Therapies","Mount Carmel, 36 Rochestown Park, Dublin, Ireland",,,,IE,"087 126 7427",,"health, establishment",,http://www.nurturetherapies.ie/,53.270276,-6.139819,"Google Places",ChIJD7rwrXgIZ0gRIjB_dZbKd0Q,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_reflexologist.csv"
"Nurture Therapies","55 Rock Road, Blackrock, Co. Dublin, Ireland",,Dublin,,IE,"087 126 7427",,"health, establishment",,http://www.nurturetherapies.ie/,53.306038,-6.18919,"Google Places",ChIJ96TjA9AIZ0gRuTHY2s6ZAD8,"dublin_physical_therapist.csv
dublin_reflexologist.csv"
"Healing Strands","Ashbrook House, 10 Main Street, Raheny, Co. Dublin, Ireland",Raheny,Dublin,,IE,"086 210 2791",,"health, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 9:30 am – 2:00 pm
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",http://www.healingstrands.com/,53.379554,-6.175379,"Google Places",ChIJd2EPMzAFZ0gRUojLVKFF4Sg,"dublin_masseur.csv
dublin_reflexologist.csv"
"Dublin Therapeutic Massage Clinic","26 Dame St, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 671 5077",,"health, establishment","Monday: 11:30 am – 7:30 pm
Tuesday: 11:30 am – 7:30 pm
Wednesday: 11:30 am – 7:30 pm
Thursday: 11:30 am – 7:30 pm
Friday: 10:00 am – 6:00 pm
Saturday: 10:00 am – 6:00 pm
Sunday: Closed",http://www.dtmclinic.ie/,53.344095,-6.264165,"Google Places",ChIJSzlg3pwOZ0gRFqHQovWiWMc,dublin_masseur.csv
"Trish Darcy Holistic Therapist / Reflexologist M.I.R.I.L","4 Cian Park, Dublin 9, Ireland","Dublin 9",Dublin,,IE,"087 263 3612",,"health, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 10:30 am – 7:30 pm
Thursday: 10:30 am – 7:30 pm
Friday: 10:30 am – 7:30 pm
Saturday: Closed
Sunday: Closed",http://www.croinadarach.ie/,53.36741,-6.25387,"Google Places",ChIJXytt9WUOZ0gREn7IUhAEkH0,dublin_reflexologist.csv
"Elizabeth Webb","Ballawley Lodge, Sandyford Road, Dundrun, Co. Dublin, Ireland",Dundrun,Dublin,,IE,"087 287 5412",,establishment,"Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:30 pm
Friday: 9:00 am – 5:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",https://plus.google.com/100775502265746903682/about?hl=en,53.277685,-6.231265,"Google Places",ChIJXzW75nMJZ0gROgZfyjq0i94,"dublin_meditation.csv
dublin_reflexologist.csv"
"Shanti Holistic","16 Clare Street, Dublin, Ireland","Dublin City",Dublin,,IE,"086 241 7051",,"health, establishment",,http://www.shantiholistic.blogspot.com/,53.341323,-6.251169,"Google Places",ChIJa7dyxpAOZ0gRClTVtDX6q-s,
"Harvest Moon Centre","24 Baggot Street Lower, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 662 7556",,"health, establishment","Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 9:00 pm
Saturday: 11:00 am – 8:00 pm
Sunday: 11:00 am – 7:00 pm",http://www.harvestmoon.ie/,53.337669,-6.250849,"Google Places",ChIJdx5TnJcOZ0gR7FiAZEuFRfI,"dublin_masseur.csv
dublin_pilates.csv
dublin_reflexologist.csv
dublin_yoga.csv"
"Mai Thai Massage","10 Abbey Street Upper, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"086 191 1781",,"health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 8:00 pm
Sunday: 10:00 am – 8:00 pm",http://www.maithaimassage.ie/10-Upper-Abbey-Street.html,53.347368,-6.26705,"Google Places",ChIJB7HRjIIOZ0gRhITFe_XJZ0E,"dublin_masseur.csv
dublin_reflexologist.csv"
"Cedarwood Holistic Therapy","23 Bramley Grove, Castleknock, Co. Dublin, Ireland",Castleknock,Dublin,,IE,"085 161 0322",,"health, establishment","Monday: 10:00 am – 7:00 pm
Tuesday: 10:00 am – 7:00 pm
Wednesday: 10:00 am – 7:00 pm
Thursday: 10:00 am – 7:00 pm
Friday: 10:00 am – 7:00 pm
Saturday: Closed
Sunday: Closed",http://www.cedarwoodholistic.ie/,53.375294,-6.388671,"Google Places",ChIJXXzTybRyZ0gRHbXLi4swRGw,"dublin_masseur.csv
dublin_reflexologist.csv"
"Castleknock Beauty Academy, Lavender Lane","Unit 14, Castlecourt Shopping Centre, Castleknock Rd, Castleknock dublin 15, Co. Dublin, Ireland","Castleknock dublin 15",Dublin,,IE,"(01) 820 6554",,establishment,"Monday: Closed
Tuesday: 10:00 am – 5:00 pm
Wednesday: 10:00 am – 5:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 5:00 pm
Sunday: Closed",https://plus.google.com/103294844556828462431/about?hl=en,53.374509,-6.363165,"Google Places",ChIJg3uV-EANZ0gRTkMDuTuf9BM,dublin_masseur.csv
