Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
Chiropodist,"The Square, Tallaght, Co. Dublin, Ireland",,Dublin,,IE,"(01) 451 7314",,establishment,,https://plus.google.com/103171573152477170453/about?hl=en,53.286818,-6.372255,"Google Places",ChIJd9IwvrV0Z0gR55it4zmD19w,
"Frank Dowling & Associates","8 Dodsborough Road, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 621 9963",,"doctor, health, establishment","Monday: Closed
Tuesday: 9:30 am – 5:30 pm
Wednesday: 10:00 am – 5:30 pm
Thursday: 9:30 am – 7:00 pm
Friday: 9:30 am – 5:30 pm
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.podiatrist.ie/,53.352383,-6.461597,"Google Places",ChIJy9-aQElyZ0gRYK70UpjKpuo,
"Society of Chiropodists & Podiatrists of Ireland","68 Granville Rd, Dun Laoghaire, Co. Dublin, Ireland","Dun Laoghaire",Dublin,,IE,"(01) 202 4939",,establishment,,http://www.podiatryireland.com/,53.26211,-6.141455,"Google Places",ChIJhezs_HYIZ0gRlRToJbYKTgw,
"Frank Dowling & Associates","Riverside Medical Centre, Navan Rd, Mulhuddart, Co. Dublin, Ireland",Mulhuddart,Dublin,,IE,"(01) 646 7830",,"hospital, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 9:30 am – 5:00 pm
Thursday: Closed
Friday: 9:00 am – 1:00 pm
Saturday: 10:00 am – 2:00 pm
Sunday: Closed",http://www.podiatrist.ie/,53.403046,-6.39828,"Google Places",ChIJWRQkf1JtZ0gR5DLxRCiPviI,
"Cahill Chiropodists","The Mews, 10 Fairview, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 833 2269",,establishment,,https://plus.google.com/117357303466022159213/about?hl=en,53.363339,-6.235904,"Google Places",ChIJhRZS4VsOZ0gRq5WJKSzSBwc,
"Cahill Chiropodists","Unit H Stillorgan Shopping Centre, Stillorgan, Co. Dublin, Ireland",Stillorgan,Dublin,,IE,"(01) 288 6330",,establishment,,https://plus.google.com/112932474724561045560/about?hl=en,53.289089,-6.20778,"Google Places",ChIJC9k-XBkJZ0gR0E2o81HwZJ0,
"Templeogue Chiropody Clinic","30 Glendown Park, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 456 2298",,"health, establishment",,http://www.dublinfootclinic.com/,53.303637,-6.316552,"Google Places",ChIJHabIuHgLZ0gRGEbjzxCBXFI,
Chiropody.ie,"stokes court ,7 Main St, Dundrum, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 298 2982",,"doctor, health, establishment",,http://www.chiropody.ie/,53.290993,-6.244935,"Google Places",ChIJ_wyeLMgOZ0gR9rr6o21R7fw,
"The Chiropody Centre","27 O'Connell Street Lower, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 874 2052",,establishment,,https://plus.google.com/115484961248818304712/about?hl=en,53.349375,-6.259927,"Google Places",ChIJm8HbRoQOZ0gRy-7LUY4vo_Q,
"Rathfarnham Chiropody Clinic","10 Main Street, Dublin, Ireland",Dublin,Dublin,,IE,"087 279 1460",,establishment,,https://plus.google.com/116112537134538164853/about?hl=en,53.29933,-6.285233,"Google Places",ChIJhQ74Nu0LZ0gR6qlwV8Hsmf8,
"Chiropody Clinic","133 Walkinstown Road, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 450 0067",,establishment,,https://plus.google.com/106161701752284512688/about?hl=en,53.318925,-6.331974,"Google Places",ChIJX9VqSYUMZ0gRh09pPsLO2JU,
"Chiropody Clinic","25 Oliver Plunkett Rd, Monkstown, Co. Dublin, Ireland",Monkstown,Dublin,,IE,"(01) 284 5912",,"doctor, health, establishment",,https://plus.google.com/101671127375819635812/about?hl=en,53.285446,-6.153486,"Google Places",ChIJP1lbL4UIZ0gRDSGoduJ69-E,
"Dun Laoghaire Chiropody & Podiatry Clinic","94 George's Street Upper, Dun Laoghaire, Co. Dublin, Ireland","Dun Laoghaire",Dublin,,IE,"(01) 271 5225",,establishment,,http://www.dlpodiatry.com/,53.291253,-6.13312,"Google Places",ChIJhWXEiiQGZ0gRHriVwavpqbY,
