Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Abbey Chiropractic and Wellness Center","46 Parnell Square West, Dublin 1, Ireland",,,,IE,"(01) 873 4363",,"health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 10:00 am – 2:00 pm
Sunday: Closed",http://www.abbeychiro.ie/,53.352512,-6.264265,"Google Places",ChIJ2_aoO4EOZ0gRJfYxdjY_AYQ,"dublin_masseur.csv
dublin_pilates.csv"
"Trinity Chiropractic & Natural Health Centre","4th floor, 12-14 College Green, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 672 9399",,"health, physiotherapist, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 10:00 am – 2:30 pm
Sunday: Closed",http://www.natbalchiro.com/,53.344159,-6.262175,"Google Places",ChIJpzSkvZwOZ0gR6-6FCbLNf0A,"dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv"
"Navan Road Chiropractic","198 Navan Rd, Dublin, Co. Dublin City, Ireland","Dublin City","Dublin City",,IE,"(01) 868 1622",,"health, establishment","Monday: 8:30 am – 1:00 pm, 3:30 – 7:00 pm
Tuesday: 3:00 – 7:00 pm
Wednesday: 9:00 am – 1:00 pm
Thursday: 3:00 – 7:00 pm
Friday: 8:30 am – 1:00 pm
Saturday: 9:00 am – 12:00 am
Sunday: Closed",http://www.navanroadchiropractic.com/,53.366736,-6.313755,"Google Places",ChIJfeHd3boNZ0gRgV4CkI_-Vp8,
"Fitzwilliam Health Clinic","19 Fitzwilliam Square South, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 661 8949",,"physiotherapist, health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.fitzwilliamhealth.ie/,53.3346,-6.251794,"Google Places",ChIJGTk1U70OZ0gRGoxPLnJB6xg,dublin_physical_therapist.csv
"The Spinery Chiropractic","6 Fitzwilliam Place, Dublin 2, Ireland","Dublin 2","Co. Dublin",,IE,"(01) 642 5911",,"health, establishment","Monday: 9:30 am – 7:30 pm
Tuesday: 9:30 am – 7:30 pm
Wednesday: 9:30 am – 7:30 pm
Thursday: 9:30 am – 7:30 pm
Friday: 9:30 am – 7:30 pm
Saturday: 9:30 am – 7:30 pm
Sunday: Closed",http://www.thespinery.com/,53.334036,-6.251476,"Google Places",ChIJm_J2THeb9YgRuZFUuL7uMiw,
"Life and Balance Centre","F8, Nutgrove Office Park, Nutgrove Avenue, Rathfarnham, Dublin 14, Ireland","Dublin 14","Co. Dublin",,IE,"(01) 207 9881",,"health, establishment",,http://www.lifeandbalance.ie/,53.292082,-6.262135,"Google Places",ChIJ7w9uS-cLZ0gR8Y2xR94G9MQ,
"Advanced Chiropractic","21 Fitzwilliam Pl, Dublin 2, Ireland","Dublin 2",,,IE,"(01) 678 7979",,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",http://www.advchiro.net/,53.333108,-6.252572,"Google Places",ChIJo8_lxKIOZ0gRuPjKYeKxQco,
"True Massage","89 Parnell Street, Dublin 1, Dublin, Ireland",Dublin,Dublin,,IE,"087 761 2887",,"health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 5:00 pm
Sunday: Closed",http://www.truemassage.ie/,53.352992,-6.259903,"Google Places",ChIJsQazUaEOZ0gR5kgVHIJBmyw,dublin_masseur.csv
"Back to Health","Old Bawn Shopping Centre, Old Bawn Rd, Tallaght, Co. Dublin, Ireland",Tallaght,Dublin,,IE,"087 054 4851",,"health, establishment",,http://www.back-2-health.com/,53.275581,-6.353348,"Google Places",ChIJGzzf1y8LZ0gRMKbWM9GZ7ts,
"Chiropractors Dublin","13 Baggot Street Upper, Dublin 2, Ireland","Dublin 2",Dublin,,IE,,,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.chiropractorsdublin.net/,53.333634,-6.244794,"Google Places",ChIJ1eST2L0OZ0gRGB8W0no82vI,dublin_masseur.csv
"Dun Laoghaire Clinic","21 Mellifont Avenue, Dun Laoghaire, Co. Dublin, Ireland","Dun Laoghaire",Dublin,,IE,"087 231 9113",,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.dunlaoghaireclinic.com/,53.290757,-6.130595,"Google Places",ChIJiUWq3CQGZ0gR1ha2X0FQ_q0,dublin_osteopath.csv
Chiropractic,"36 Braemor Rd, Rathfarnham, Co. Dublin, Ireland",Rathfarnham,Dublin,,IE,"087 054 4851",,"health, establishment",,http://www.back-2-health.com/,53.297228,-6.259578,"Google Places",ChIJdWhqJOILZ0gROYk4L7tDnhE,
"Finley Chiropractic Centre","Newtownpark Ave, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"(01) 288 2801",,"health, establishment","Monday: 10:30 am – 1:30 pm, 4:30 – 7:30 pm
Tuesday: 10:30 am – 1:30 pm, 4:30 – 7:30 pm
Wednesday: Closed
Thursday: 10:30 am – 1:30 pm, 4:30 – 7:30 pm
Friday: 10:30 am – 1:30 pm, 4:30 – 7:30 pm
Saturday: Closed
Sunday: Closed",http://finleychiropracticcentre.goldenpages.ie/,53.284522,-6.177698,"Google Places",ChIJ3Y2I-_EIZ0gR2JU__mWrCU4,
