Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Aungier Street Clinic","1st Floor, 16 Redmond Hill, Aungier St, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 400 5708",,"hospital, health, establishment",,http://www.aungierclinic.ie/,53.33784,-6.266128,"Google Places",ChIJka7A6p0OZ0gRxepa9DJlcO4,
"Cosmetic Doctor","Old Dublin Road, Dublin, Ireland",,Dublin,,IE,"(01) 200 0500",4.8,"beauty_salon, doctor, health, hair_care, establishment","Monday: 9:15 am – 6:00 pm
Tuesday: 9:15 am – 6:30 pm
Wednesday: 9:15 am – 6:30 pm
Thursday: 9:15 am – 6:00 pm
Friday: 9:15 am – 5:30 pm
Saturday: 10:00 am – 1:30 pm
Sunday: Closed",http://www.cosmeticdoctor.ie/,53.29222,-6.201202,"Google Places",ChIJu7vjzh8JZ0gR478zGwikr7o,
"Eccles Clinic","Bloom House, 78 Eccles St, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 830 9445",,"beauty_salon, doctor, health, hair_care, establishment","Monday: 9:30 am – 6:00 pm
Tuesday: 9:30 am – 6:00 pm
Wednesday: 9:30 am – 6:00 pm
Thursday: 9:30 am – 6:00 pm
Friday: 9:30 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.ecclesclinic.ie/,53.357556,-6.264438,"Google Places",ChIJgfKWdH4OZ0gRiPaj94MJFv0,
"Universal Hair and Scalp Clinic Limited","3 S Great George's St, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 679 3618",,"doctor, health, establishment","Monday: Closed
Tuesday: 10:00 am – 7:00 pm
Wednesday: 10:00 am – 7:00 pm
Thursday: 10:00 am – 7:00 pm
Friday: 10:00 am – 6:00 pm
Saturday: 9:30 am – 1:00 pm
Sunday: Closed",http://www.universalclinics.com/,53.343807,-6.264309,"Google Places",ChIJ6fZG4JwOZ0gRxspiA1t9ZaE,
"Monkstown Laser Skin Clinic","24 Monkstown Crescent, Monkstown, Co. Dublin, Ireland",Monkstown,Dublin,,IE,"(01) 284 4431",,"doctor, health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 9:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 9:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 9:00 am – 4:00 pm
Sunday: Closed",http://www.monkstownlaserskinclinic.ie/,53.293955,-6.150132,"Google Places",ChIJ3WW7254IZ0gRSo4UpMOatRc,
"Facioderm Clinic","71 Abbey Street Middle, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 873 4975",,"health, doctor, establishment","Monday: 10:00 am – 5:00 pm
Tuesday: 10:00 am – 5:00 pm
Wednesday: 10:00 am – 5:00 pm
Thursday: 10:00 am – 5:00 pm
Friday: 10:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",https://plus.google.com/113076023623783709522/about?hl=en,53.348081,-6.260697,"Google Places",ChIJw_MJYoQOZ0gRDoY8NVu26A4,
"VenusMedical VASER hi-def, VASER lipo, liposuction clinic","Heritage House, Dundrum Office Park, Main Street, Dundrum, Co. Dublin, Ireland",Dundrum,Dublin,,IE,"(01) 296 2747",,"doctor, health, establishment","Monday: 9:30 am – 6:30 pm
Tuesday: 12:00 – 8:00 pm
Wednesday: 9:30 am – 6:30 pm
Thursday: 9:30 am – 6:30 pm
Friday: 9:30 am – 6:30 pm
Saturday: Closed
Sunday: Closed",http://www.venusmedical.ie/,53.291848,-6.245212,"Google Places",ChIJx6ppgWcJZ0gRxnx3Enu1d2k,
"Adare Cosmetics Clinic","26 Fitzwilliam Square S, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 676 9810",,"doctor, health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",http://www.adarecosmetics.ie/,53.334822,-6.252453,"Google Places",ChIJ5VEYqaIOZ0gR_O9-XuCXFc0,
"Ailesbury Clinic","Suite 6, Merrion Court, Ailesbury Rd, Dublin, Ireland",,,,IE,"(01) 269 2255",,"health, hospital, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: 10:00 am – 4:00 pm
Sunday: Closed",http://www.ailesburyclinic.ie/,53.320173,-6.214197,"Google Places",ChIJXYWr8NMOZ0gRUAOsqZvGHfw,
"Dr. Geraldine Morrow","39 Grosvenor Road, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 497 0392",,"health, establishment","Monday: 9:30 am – 5:00 pm
Tuesday: 9:30 am – 5:00 pm
Wednesday: 9:30 am – 5:00 pm
Thursday: 9:30 am – 5:00 pm
Friday: 9:30 am – 5:00 pm
Saturday: Closed
Sunday: Closed",https://plus.google.com/111852541854678549865/about?hl=en,53.317904,-6.271192,"Google Places",ChIJ3RGLnQYMZ0gROzadXlrfb1A,
"beauty secrets 2010","Tallaght, Tallaght, Co. Dublin, Ireland",Tallaght,Dublin,,IE,,,"beauty_salon, establishment",,http://www.beautysecrets2010.blogspot.com/,53.288804,-6.355706,"Google Places",ChIJBW7BdbV0Z0gREMxlrZ0Uz2U,dublin_allergy.csv
"Biofresh Skincare Ireland","9 Trinity St, Dublin 2, Ireland","Dublin 2",Dublin,,IE,,,"health, establishment",,http://www.biofreshskincare.ie/,53.344027,-6.26216,"Google Places",ChIJ1YtVlpwOZ0gR1VUYmK6MQjQ,
"Jule Beauty Salon Malahide","No.1 Strand Street, Malahide, Co. Dublin, Ireland",Malahide,Dublin,,IE,"(01) 845 6204",,"beauty_salon, establishment","Monday: 9:30 am – 6:00 pm
Tuesday: 9:30 am – 7:30 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:30 am – 7:00 pm
Saturday: 9:30 am – 6:00 pm
Sunday: 11:00 am – 5:00 pm",http://www.julebeauty.ie/,53.452115,-6.15465,"Google Places",ChIJQ122HWEaZ0gRPM_DmCTylQY,
"St. Vincent's Private Hospital","Merrion Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 263 8000",,"hospital, establishment",,http://www.svph.ie/,53.315463,-6.208991,"Google Places",ChIJyxhpKysJZ0gRLpTMOurkq74,
"Carlton Clinic","1/2, Carlton Terrace, Novara Ave, Bray, Co. Wicklow, Ireland",Bray,Wicklow,,IE,"(01) 286 0568",,"doctor, health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 6:00 pm
Saturday: 8:30 – 10:30 am
Sunday: Closed",http://www.carlton-clinic.ie/,53.202423,-6.108312,"Google Places",ChIJXYEC82-oZ0gRQBOVZtYT00c,
"Hermitage Medical Clinic","Lucan Road Old, Dublin, Ireland","South Dublin",Dublin,,IE,"(01) 645 9000",4.2,"hospital, health, establishment","Monday: 8:00 am – 5:00 pm
Tuesday: 8:00 am – 5:00 pm
Wednesday: 8:00 am – 5:00 pm
Thursday: 8:00 am – 5:00 pm
Friday: 8:00 am – 5:00 pm
Saturday: 10:00 am – 5:00 pm
Sunday: 10:00 am – 5:00 pm",http://www.hermitageclinic.ie/,53.358813,-6.40464,"Google Places",ChIJM7GOVNtyZ0gRnIn_TQdJmew,dublin_allergy.csv
Zenergy,"13 Fade Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 611 1100",4.1,"beauty_salon, health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: 12:00 am – 6:00 pm",http://www.zenergy.ie/,53.342118,-6.264259,"Google Places",ChIJCyytrZ0OZ0gR55YdDZYZFSU,dublin_masseur.csv
"Carter Beauty & Acne Clinic","46A Patrick Street, Dun Laoghaire, Co. Dublin, Ireland","Dun Laoghaire",Dublin,,IE,"(01) 280 8880",,"beauty_salon, store, hospital, doctor, health, establishment","Monday: Closed
Tuesday: 10:00 am – 9:00 pm
Wednesday: 10:00 am – 9:00 pm
Thursday: 10:00 am – 9:00 pm
Friday: 10:00 am – 6:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: Closed",http://www.carterbeauty.com/,53.288991,-6.138502,"Google Places",ChIJTRMTWyYGZ0gRaPOJ0hR8pq0,
"Complementary Therapists","5 Ardmore Drive, Dublin 5, Ireland","Dublin 5",Dublin,,IE,"086 668 2855",,"health, establishment",,http://www.complementary-therapists.com/,53.388366,-6.215449,"Google Places",ChIJVfGDK8wPZ0gROjMPMQhZeLc,"dublin_acupuncturist.csv
dublin_allergy.csv
dublin_aromatherapist.csv
dublin_meditation.csv
dublin_physical_therapist.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Jia Yin Acupuncture","36 Dame Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 679 8100",,"health, establishment","Monday: 11:00 am – 7:00 pm
Tuesday: 11:00 am – 7:00 pm
Wednesday: 11:00 am – 7:00 pm
Thursday: 11:00 am – 7:00 pm
Friday: 11:00 am – 7:00 pm
Saturday: 11:00 am – 7:00 pm
Sunday: Closed",https://plus.google.com/107960688950957877464/about?hl=en,53.344095,-6.262999,"Google Places",ChIJteCywZwOZ0gR3epFiHVcbmc,dublin_masseur.csv
www.biophotonireland.com,"Stillorgan, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"086 088 5099",,"beauty_salon, store, doctor, health, establishment",,https://plus.google.com/110094178033170323670/about?hl=en,53.30287,-6.17895,"Google Places",ChIJZy7nAv0IZ0gRlOC1RO4rxRk,dublin_masseur.csv
"Castleknock Cosmetic Clinic","62 Maple Drive, Dublin 15, Ireland","Dublin 15",Dublin,,IE,"(01) 827 8766",,"beauty_salon, hospital, doctor, health, establishment","Monday: 9:30 am – 5:30 pm
Tuesday: 9:30 am – 5:30 pm
Wednesday: 9:30 am – 5:30 pm
Thursday: 9:30 am – 5:30 pm
Friday: 9:30 am – 5:30 pm
Saturday: Closed
Sunday: Closed",http://www.castleknockcosmetics.ie/,53.378241,-6.380353,"Google Places",ChIJB25rvE4NZ0gRtaSq_3K7d1I,
Medpages.ie,"6 Suffolk St, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 675 5137",,"doctor, dentist, health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.medpages.ie/,53.343708,-6.260212,"Google Places",ChIJlT6MY5sOZ0gR6K_xcCJmhbo,"dublin_allergy.csv
dublin_aromatherapist.csv
dublin_chiropractor.csv
dublin_meditation.csv"
