Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Good Living Nutrition","6 Bloomfield Avenue, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 869 4100",,"health, establishment",,https://plus.google.com/105366102415095545826/about?hl=en,53.331091,-6.271594,"Google Places",ChIJD3m41R4MZ0gR_Sp7Ae1uNh0,dublin_nutritionist.csv
"Merrion Gates Medical Centre","240 Merrion Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 269 1876",,"doctor, health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:30 am – 7:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 8:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.merriongatesmc.com/,53.31739,-6.207705,"Google Places",ChIJBbRfGtUOZ0gR1PJehnpRvtY,dublin_nutritionist.csv
"Ranelagh Medical","22-26 Sandford Road, Ranelagh, Dublin 6, Co. Dublin City, Ireland","Dublin City","Dublin City",,IE,"(01) 498 6900",,"doctor, health, establishment",,http://www.ranelaghmedical.ie/,53.323009,-6.248727,"Google Places",ChIJ-5mTIbAOZ0gRN51V9wsoL_Q,"dublin_chiropodist.csv
dublin_nutritionist.csv"
"Raheny Medical","2nd Floor, River House, Raheny Shopping Centre, Howth Road, Raheny, Dublin 5, Ireland",,,,IE,"(01) 805 8508",,"doctor, health, establishment","Monday: 9:00 am – 6:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.rahenymedical.ie/,53.38057,-6.178178,"Google Places",ChIJiWgpnJIPZ0gRVL1adVwKarw,"dublin_chiropodist.csv
dublin_nutritionist.csv"
"Phoenix Medical","263 Navan Rd, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 868 3052",,"doctor, health, establishment","Monday: 8:30 am – 7:00 pm
Tuesday: 8:30 am – 6:00 pm
Wednesday: 8:30 am – 7:00 pm
Thursday: 8:30 am – 6:00 pm
Friday: 8:30 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.phoenixmedical.ie/,53.367919,-6.317718,"Google Places",ChIJRba_66QNZ0gRQSVg8eMqiwA,"dublin_chiropodist.csv
dublin_nutritionist.csv"
"Churchtown Medical","3 Landscape Road, Dublin 14, Ireland","Dublin 14",Dublin,,IE,"(01) 298 8945",,"doctor, health, establishment",,http://www.churchtownmedical.ie/,53.299534,-6.267885,"Google Places",ChIJEZ-H--QLZ0gRfNdALJidmi4,"dublin_chiropodist.csv
dublin_nutritionist.csv"
"Clonard Medical","Clonard Lodge, Sandyford Rd, Dublin 16, Ireland","Dublin 16",Dublin,,IE,"(01) 295 5010",,"doctor, health, establishment","Monday: 8:45 – 11:45 am, 2:00 – 7:00 pm
Tuesday: 8:45 – 11:45 am, 2:00 – 7:00 pm
Wednesday: 8:45 – 11:45 am, 2:00 – 7:00 pm
Thursday: 8:45 am – 1:30 pm, 3:00 – 6:00 pm
Friday: 8:45 – 11:45 am, 1:00 – 4:00 pm
Saturday: Closed
Sunday: Closed",http://www.clonardmedical.ie/,53.277544,-6.231114,"Google Places",ChIJ_wZM5HMJZ0gRqHmvjfeLxWQ,"dublin_chiropodist.csv
dublin_nutritionist.csv"
"Centric Health","Rockfield Medical Campus, Balally, Dundrum, Dublin 16, Ireland",,,,IE,"(01) 299 3500",,"health, establishment","Monday: 9:00 am – 6:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.centrichealth.ie/Medical_practice_services.asp,53.286204,-6.237133,"Google Places",ChIJoVe-2G4JZ0gRU2_0PWRkm-E,dublin_nutritionist.csv
"Modus Web Design","18 Exchange Street Upper, Dublin, Co. Leinster, Ireland",Dublin,Leinster,,IE,"(01) 831 0398",,establishment,"Monday: 9:00 am – 6:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: 11:00 am – 4:00 pm
Sunday: Closed",http://www.modus.ie/,53.344348,-6.268018,"Google Places",ChIJKTMOWJ0OZ0gR_wxDKE55oSI,dublin_nutritionist.csv
"Cafe Sofia","5A Wexford St, Dublin, Ireland",Dublin,Dublin,,IE,"087 417 6557",4.7,"cafe, food, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 8:30 am – 6:30 pm
Sunday: Closed",https://plus.google.com/111826561307664764640/about?hl=en,53.337316,-6.265474,"Google Places",ChIJt2ltLZ4OZ0gR8FzJgWCmGB4,
