Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Helen McCormack, Home of Herbs","186 Philipsburgh Avenue, Dublin 3, Ireland","Dublin 3",Dublin,,IE,"(01) 836 8965",,"health, establishment",,http://www.homeofherbs.ie/,53.370154,-6.238649,"Google Places",ChIJ1xbJgkQOZ0gREZ8ehfmubgA,
"Ronan Donnelly Traditional Chinese Medicine","22 Mount Symon Avenue, Clonsilla, Dublin 15, Ireland",,,,IE,"(01) 820 5632",,"health, establishment",,http://www.ronandonnellytcm.com/,53.38779,-6.419935,"Google Places",ChIJY-eScZ9yZ0gRw1RCJrGveJ8,dublin_acupuncturist.csv
"Mark Goulding Acupuncture","11A Eglinton Road, Bray, Co. Wicklow, Ireland",Bray,Wicklow,,IE,"086 155 6384",,"health, establishment",,http://www.markgoulding.ie/,53.203625,-6.106452,"Google Places",ChIJeW_QC2-oZ0gRGGFe7WbPWnw,dublin_acupuncturist.csv
"Dr Tom O Brien ★","22, 31 James's Walk, Rialto, Dublin 8, Ireland","Dublin 8",Dublin,,IE,"086 026 1240",,"health, establishment","Monday: 6:00 – 10:00 pm
Tuesday: 6:00 – 10:00 pm
Wednesday: 6:00 – 10:00 pm
Thursday: 6:00 – 10:00 pm
Friday: 6:00 – 10:00 pm
Saturday: 11:00 am – 4:00 pm
Sunday: 2:00 – 5:00 pm",http://www.drtomobrien.ie/,53.338161,-6.293185,"Google Places",ChIJLVhXSj8MZ0gR66t6PToy48Y,
"Newtownpark Clinic (Ciara Murphy)","7 Rockville Road, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"(01) 210 8489",4.6,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",http://www.irishherbalist.ie/,53.290643,-6.171944,"Google Places",ChIJa476VesIZ0gRDjd3Rbizq50,"dublin_colonic_hydrotherapy.csv
dublin_hydrotherapy.csv
dublin_nutritionist.csv
dublin_reflexologist.csv"
"Melt Natural Healing Centre","2 Temple Lane South, Dublin 2, Ireland","Dublin 2","Co. Dublin",,IE,"(01) 679 8786",,"beauty_salon, health, establishment","Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 9:00 pm
Saturday: 10:00 am – 7:00 pm
Sunday: 10:00 am – 7:00 pm",http://www.meltonline.com/,53.34453,-6.264382,"Google Places",ChIJrS-91JwOZ0gRtm7P7ZgrLCM,"dublin_acupuncturist.csv
dublin_aromatherapist.csv
dublin_masseur.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv
dublin_reflexologist.csv
dublin_yoga.csv"
"Anne Hughes Acupuncture","28 South William Street, Dublin, Ireland",,Dublin,,IE,"087 624 9555",,"health, establishment","Monday: Closed
Tuesday: 8:00 am – 3:00 pm
Wednesday: 8:00 am – 3:00 pm
Thursday: 8:00 am – 3:00 pm
Friday: Closed
Saturday: Closed
Sunday: Closed",http://www.well-being-dublin.com/,53.341578,-6.262996,"Google Places",ChIJ48AfhJwOZ0gR-LCWQzhIdCo,"dublin_acupuncturist.csv
dublin_nutritionist.csv"
"Ronan Donnelly Acupuncture","22 Mount Symon Avenue, Dublin 15, Ireland","Dublin 15",Dublin,,IE,"(01) 820 5632",,"store, health, establishment",,http://www.ronandonnellytcm.com/,53.387746,-6.420061,"Google Places",ChIJpcj_b59yZ0gRKfblBsW_Ui0,dublin_acupuncturist.csv
"Chiropractor Dublin │Clontarf Chiropractic","126 Clontarf Rd, Dublin 3, Ireland","Dublin 3",Dublin,,IE,"(01) 833 4026",4.9,"health, establishment","Monday: 8:00 am – 1:00 pm, 3:30 – 7:00 pm
Tuesday: 8:00 am – 1:00 pm, 3:30 – 7:00 pm
Wednesday: 8:00 am – 1:00 pm, 3:30 – 7:00 pm
Thursday: 8:00 am – 1:00 pm, 3:30 – 7:00 pm
Friday: 8:00 am – 1:00 pm, 3:30 – 7:00 pm
Saturday: 8:00 am – 1:00 pm
Sunday: Closed",http://www.clontarfchiropractic.ie/,53.36056,-6.204445,"Google Places",ChIJnSD6NqgPZ0gReWTlrl4PJxo,"dublin_chiropractor.csv
dublin_physical_therapist.csv"
"Acupuncture and Traditional Chinese Medicine Clinic","ICTCM House, Merchant's Road, Dublin 3, Ireland","Dublin 3","Co. Dublin",,IE,"087 955 2139",,"health, establishment",,http://www.chinesemedicine.ie/,53.353647,-6.22724,"Google Places",ChIJI_Dn5fkOZ0gRLM6UbWAE8HE,dublin_acupuncturist.csv
