Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Kiltipper Woods Physiotherapy and Hydrotherapy Clinic Dublin","24 Whitestown Way, Dublin 24, Ireland","Dublin 24",Dublin,,IE,"(01) 462 5277",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.kwphysio.ie/,53.267015,-6.365743,"Google Places",ChIJkbyE_tR0Z0gRDv-xZmWppuU,"dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv"
"Blanchardstown Canine Hydrotherapy Clinic","Mews 1, Main Street, Blanchardstown 15, Co. Dublin, Ireland","Blanchardstown 15",Dublin,,IE,"(01) 821 9401",,establishment,"Monday: 9:00 am – 5:30 pm
Tuesday: 9:00 am – 5:30 pm
Wednesday: 9:00 am – 5:30 pm
Thursday: 9:00 am – 5:30 pm
Friday: 9:00 am – 5:30 pm
Saturday: Closed
Sunday: Closed",http://www.goldenpages.ie/Blanchardstown_Canine_Hydrotherapy_Centre+Veterinary_Surgeons+Dublin+1511263.html,53.385824,-6.376157,"Google Places",ChIJvya-eFoNZ0gRf-I4-EgqlQg,
"Cleanse Within Colon Hydrotherapy/ Colonic Irrigation","16 South Great George's Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 162 2063",,"health, establishment","Monday: 10:00 am – 7:00 pm
Tuesday: 10:00 am – 7:00 pm
Wednesday: Closed
Thursday: 10:00 am – 7:00 pm
Friday: 10:00 am – 7:00 pm
Saturday: Closed
Sunday: Closed",http://www.cleansewithin.ie/,53.343089,-6.26422,"Google Places",ChIJLy94_ZwOZ0gRNbvZW_6y6IM,dublin_colonic_hydrotherapy.csv
"Advanz Advanced Hydrotherapy","Ida Tallaght Business Park, Whitestown, Tallaght, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 459 6705",,"home_goods_store, store, establishment",,http://www.advanz.ie/,53.396191,-6.39889,"Google Places",ChIJkYbZPFRtZ0gRH2EyNPjsTGM,
"Eureka Hydrotherapy","20 Luttrellstown Rise, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 822 4411",,establishment,,http://eurekahydrotherapy.com/,53.372982,-6.394558,"Google Places",ChIJh3k4eLZyZ0gRY7BTntaCmKA,
"Aria Health Care","Applewood Medical centre Applewood Village Swords Co, Dublin, Co. Fingal, Ireland",Fingal,Fingal,,IE,"(01) 895 7947",,"health, establishment",,http://www.aria-health.com,53.471803,-6.232338,"Google Places",ChIJITur9dsQZ0gRZx0sKhY4g7A,dublin_colonic_hydrotherapy.csv
"Colonic Irrigation Dublin, NOW €79 not €120","4, 48 Rushbrook, Blanchardstown, Co. Dublin, Ireland",Blanchardstown,Dublin,,IE,"(01) 820 1602",,"health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 8:00 pm
Sunday: Closed",http://www.colonicdublin.ie/,53.385867,-6.380484,"Google Places",ChIJywC1bVENZ0gRrQSt-nBlivQ,"dublin_allergy.csv
dublin_colonic_hydrotherapy.csv"
"Hilton Dublin Kilmainham","South Circular Road, Kilmainham, Dublin 8, Ireland","Dublin 8",Dublin,,IE,"(01) 420 1800",3.9,"lodging, spa, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",http://www.placeshilton.com/dublin-kilmainham,53.342312,-6.308324,"Google Places",ChIJa_jeXEUMZ0gRAH1a5nGr9GM,
"Lisa Kernan & Associates,","16 Kincora Avenue, Dublin 3, Ireland","Dublin 3",Dublin,,IE,"(01) 833 7809",,"physiotherapist, health, establishment",,http://www.lisakernan.ie/,53.363636,-6.209772,"Google Places",ChIJRV635KsPZ0gR1rh_G8AGFpM,"dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"Best Western Sheldon Park Hotel","131 Kylemore Road, Dublin 12, Ireland","Dublin 12",Dublin,,IE,"(01) 460 1055",3.9,"gym, bar, lodging, health, establishment",,http://www.sheldonpark.ie/en/contact/,53.329573,-6.343784,"Google Places",ChIJ17ZLJpnnXEgRsK_KU2npSsc,
"Dunboyne Castle Hotel and Spa","Maynooth Road, Dunboyne, Co. Meath, Ireland",Dunboyne,Meath,,IE,"(01) 801 3500",4.2,"lodging, spa, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",http://dunboynecastlehotel.com/,53.41741,-6.477427,"Google Places",ChIJGdywprhtZ0gRBHB54DKuyP8,"dublin_masseur.csv
dublin_personal_trainer.csv"
"Essential Health","Westwood Club, Leopardstown Racecourse, Leopardstown, Co. Dublin, Ireland",Leopardstown,Dublin,,IE,"087 959 4286",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 10:00 am – 3:00 pm
Sunday: 10:00 am – 3:00 pm",http://www.essentialhealth.ie/,53.266495,-6.192684,"Google Places",ChIJpRqHQFMIZ0gR9LvFtLfniKI,"dublin_colonic_hydrotherapy.csv
dublin_reflexologist.csv"
"Dublin Colonic","Unit 7, Dublin Vitality Center, 48 Rushbrook, Dublin City, Co. Dublin, Ireland","Dublin City","Co. Dublin",,IE,"087 197 3984",,establishment,,http://www.dublincolonic.ie/,53.385862,-6.380865,"Google Places",ChIJw1zhLlcNZ0gR3yFmAMArBSI,dublin_colonic_hydrotherapy.csv
