Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Dublin Holistic Massage","19 Talbot Street, Dublin 1, Ireland","Dublin 1","Co. Dublin",,IE,"085 774 7474",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: 9:00 am – 9:00 pm",http://www.dublinholisticmassage.com/,53.350706,-6.25493,"Google Places",ChIJrVCRUY8OZ0gR7OWmnxfmUbs,dublin_reflexologist.csv
"Summerhill House Hotel Wicklow","Enniskerry, Enniskerry, Co. Wicklow, Ireland",Enniskerry,Wicklow,,IE,"(01) 286 7928",,"lodging, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",http://www.summerhillhousehotel.com/,53.190376,-6.163995,"Google Places",ChIJm7uHcK2nZ0gReFXKscPdbLI,
"Traffichemy Internet Marketing","Pembroke Square, Grand Canal Street Upper, Dublin, Ireland",Dublin,Dublin,,IE,"086 239 8550",,establishment,"Monday: 10:00 am – 7:00 pm
Tuesday: 10:00 am – 7:00 pm
Wednesday: 10:00 am – 7:00 pm
Thursday: 10:00 am – 7:00 pm
Friday: 10:00 am – 1:00 pm
Saturday: Closed
Sunday: Closed",http://www.smallbizmarketing.ie/,53.338349,-6.237154,"Google Places",ChIJX3Xp3uoOZ0gRCthathW_PEQ,dublin_chiropractor.csv
"Thai Massage Ireland","south Hillleopardstown Road, Sandyford, Dublin 18, Co. Dubln, Ireland","Dublin 18",Dubln,,IE,"087 782 8202",,"store, health, establishment",,http://www.thaimassageireland.ie/,53.269378,-6.218849,"Google Places",ChIJH745_KAJZ0gRg2M7YogNQM0,
"North Dublin Therapy","80 Killester Avenue, Dublin, Ireland",Dublin,Dublin,,IE,"087 205 2517",,establishment,,http://www.northdublintherapy.ie/,53.374419,-6.20629,"Google Places",ChIJ_STIuLAPZ0gRq4koqIoAK78,
"Healing Hands Therapies Dublin","38 Swift Hall, Collegewood, Dublin 15, Ireland","Dublin 15",Dublin,,IE,"085 740 9567",,"health, establishment","Monday: Closed
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 6:00 pm
Sunday: Closed",http://www.healinghandstherapies.ie/,53.372217,-6.37029,"Google Places",ChIJswdh-EANZ0gRVOE4XzVWaJY,
"The Buff Day Spa","52 King Street South, Dublin 2, Ireland",,,,IE,"(01) 677 4624",,"spa, beauty_salon, health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 9:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 6:00 pm
Sunday: 12:00 – 6:00 pm",http://www.thebuffdayspa.com/,53.340242,-6.261286,"Google Places",ChIJzc9-HpwOZ0gRXLbOuaeiYC4,"dublin_aromatherapist.csv
dublin_reflexologist.csv"
"Dublin Therapeutic Massage Clinic","26 Dame St, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 671 5077",,"health, establishment","Monday: 11:30 am – 7:30 pm
Tuesday: 11:30 am – 7:30 pm
Wednesday: 11:30 am – 7:30 pm
Thursday: 11:30 am – 7:30 pm
Friday: 10:00 am – 6:00 pm
Saturday: 10:00 am – 6:00 pm
Sunday: Closed",http://www.dtmclinic.ie/,53.344095,-6.264165,"Google Places",ChIJSzlg3pwOZ0gRFqHQovWiWMc,dublin_aromatherapist.csv
"Abbey Chiropractic and Wellness Center","46 Parnell Square West, Dublin 1, Ireland",,,,IE,"(01) 873 4363",,"health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 10:00 am – 2:00 pm
Sunday: Closed",http://www.abbeychiro.ie/,53.352512,-6.264265,"Google Places",ChIJ2_aoO4EOZ0gRJfYxdjY_AYQ,"dublin_chiropractor.csv
dublin_pilates.csv"
"Mai Thai Massage Dublin","41A Wellington Quay, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 250 8643",,"health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 8:00 pm
Sunday: 10:00 am – 8:00 pm",http://www.maithaimassage.ie/,53.345823,-6.263598,"Google Places",ChIJB7HRjIIOZ0gRrOozu0dBBm4,dublin_reflexologist.csv
