Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Dublin Buddhist Centre","5 James Joyce St, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 817 8933",4.8,establishment,"Monday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Tuesday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Wednesday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Thursday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Friday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.dublinbuddhistcentre.org/,53.351947,-6.253559,"Google Places",ChIJjw8GxogOZ0gR7SpDnDI8zKk,dublin_yoga.csv
"Rigpa Dublin","12 Wicklow Street, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 670 3358",,"health, establishment",,http://rigpa.ie/lang-en/find-your-centre/local-centres-ireland/dublin.html,53.342963,-6.26079,"Google Places",ChIJXc0qfpsOZ0gRBOiiMIwiHpg,
"Lotus Yoga","5 Little Fitzwilliam Place, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"085 145 0880",,"school, establishment",,http://www.lotusyoga.ie/,53.337531,-6.249399,"Google Places",ChIJM9wfrJcOZ0gRe4VZfoKppcw,"dublin_pilates.csv
dublin_yoga.csv"
"Zen dojo Dublin","1 Upper Gardiner Street, Dublin 1, Dublin, Ireland",Dublin,Dublin,,IE,"087 903 6994",,establishment,,http://www.zenireland.com/,53.356782,-6.259363,"Google Places",ChIJxYCTZH0OZ0gRiXt13r9Kf-g,
"Transcendental Meditation","Stillorgan, Co. Dublin, Ireland",,Dublin,,IE,"086 359 9922",,"health, establishment","Monday: 9:30 am – 5:00 pm
Tuesday: 9:30 am – 5:00 pm
Wednesday: 9:30 am – 5:00 pm
Thursday: 9:30 am – 5:00 pm
Friday: 9:30 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.tm-ireland.org/,53.291903,-6.193401,"Google Places",ChIJTWeSAN4IZ0gRX7gLrcdVK5k,
"Northern Academy of Hypnotherapy and Past Life Regression","7 N Circular Rd, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"086 158 5370",,establishment,,http://www.northern-academy.com/,53.351236,-6.2958,"Google Places",ChIJqQPCTNINZ0gREvkfTzqc4Xw,
"Transcendental Meditation","15 Trafalgar Terrace, Monkstown, Co. Dublin, Ireland",Monkstown,Dublin,,IE,"(01) 284 5742",,"health, establishment",,http://www.transcend.ie/,53.297489,-6.161698,"Google Places",ChIJSTAObr0IZ0gREJlh2UNhXfU,
"Stephen Travers Advanced Clinical Hypnotherapy","Oscailt, 8 Pembroke Road, Ballsbridge, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 484 7834",,"health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 5:00 pm
Sunday: Closed",http://www.stravershypnosis.com/,53.332641,-6.242272,"Google Places",ChIJc4dC9L4OZ0gRNh01fOsVcao,
"Sahaja Yoga Meditation (FreeMeditation.ie)","5 Eustace Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 252 0765",,"health, establishment","Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: 7:30 – 8:45 pm
Saturday: Closed
Sunday: Closed",http://www.freemeditation.ie/,53.344592,-6.264861,"Google Places",ChIJUx7VJ50OZ0gR4pY4fDMhRKg,dublin_yoga.csv
"Dublin Shambhala Centre","23 Mount Street Upper, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 642 5885",,establishment,"Monday: 7:30 – 10:00 pm
Tuesday: Closed
Wednesday: 7:30 – 10:30 pm
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",http://www.shambhala.ie/,53.337331,-6.244944,"Google Places",ChIJj_B6AZYOZ0gRrjqN8neqnpQ,
