Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Healing Code Acupuncture Clinic","33 Haddington Rd, Ballsbridge, Dublin 4, Ireland",,,,IE,"(01) 667 2222",,"health, establishment","Monday: 9:00 am – 7:00 pm
Tuesday: 9:00 am – 7:00 pm
Wednesday: 9:00 am – 7:00 pm
Thursday: 9:00 am – 7:00 pm
Friday: 9:00 am – 4:00 pm
Saturday: Closed
Sunday: 9:00 am – 4:00 pm",http://www.healing-code.com/,53.334366,-6.24336,"Google Places",ChIJWULYE74OZ0gR07qoYMtTiS4,
"Glenville Nutrition","10 Orwell Road, Rathgar, Dublin 6, Ireland","Dublin 6","Co. Dublin",,IE,"(01) 402 0777",,"health, establishment",,http://www.positivenutrition.ie/,53.311642,-6.274646,"Google Places",ChIJXT2MB6gOZ0gR8Zp-zzAzPyw,dublin_allergy.csv
"Merrion Gates Medical Centre","240 Merrion Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 269 1876",,"doctor, health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:30 am – 7:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 8:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.merriongatesmc.com/,53.31739,-6.207705,"Google Places",ChIJBbRfGtUOZ0gR1PJehnpRvtY,dublin_dietician.csv
"Marino Therapy Centre","94 Drumcondra Road Upper, Drumcondra, Dublin 9, Co. Dublin, Ireland","Drumcondra, Dublin 9",Dublin,,IE,"(01) 857 6901",,"health, establishment",,http://www.marinotherapycentre.com/,53.371786,-6.252908,"Google Places",ChIJF7RAWlAOZ0gRuT-l5JX5MFU,dublin_masseur.csv
"Nutricia Ireland","Block 1, Deansgrange Business Park, Kill Lane, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 289 0283",,"health, establishment",,https://plus.google.com/112867279260169829734/about?hl=en,53.279055,-6.161989,"Google Places",ChIJpQLb4YsIZ0gRT4bLzNJNxuo,
"Ranelagh Medical","22-26 Sandford Road, Ranelagh, Dublin 6, Co. Dublin City, Ireland","Dublin City","Dublin City",,IE,"(01) 498 6900",,"doctor, health, establishment",,http://www.ranelaghmedical.ie/,53.323009,-6.248727,"Google Places",ChIJ-5mTIbAOZ0gRN51V9wsoL_Q,"dublin_chiropodist.csv
dublin_dietician.csv"
"Good Living Nutrition","6 Bloomfield Avenue, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 869 4100",,"health, establishment",,https://plus.google.com/105366102415095545826/about?hl=en,53.331091,-6.271594,"Google Places",ChIJD3m41R4MZ0gR_Sp7Ae1uNh0,dublin_dietician.csv
"Raheny Medical","2nd Floor, River House, Raheny Shopping Centre, Howth Road, Raheny, Dublin 5, Ireland",,,,IE,"(01) 805 8508",,"doctor, health, establishment","Monday: 9:00 am – 6:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.rahenymedical.ie/,53.38057,-6.178178,"Google Places",ChIJiWgpnJIPZ0gRVL1adVwKarw,"dublin_chiropodist.csv
dublin_dietician.csv"
FFS,"47 Leeson Street Lower, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 661 1008",,"gym, health, establishment","Monday: 6:30 am – 9:30 pm
Tuesday: 6:30 am – 9:30 pm
Wednesday: 6:30 am – 9:30 pm
Thursday: 6:30 am – 9:30 pm
Friday: 6:30 am – 9:30 pm
Saturday: 9:00 am – 3:00 pm
Sunday: 12:00 am – 2:00 pm",http://www.ffs.ie/,53.3329,-6.253812,"Google Places",ChIJEQrz5aIOZ0gRQrcJ_xj8yJE,dublin_personal_trainer.csv
"Essential Nutrition","50 Sandycove Rd, Sandycove, Co. Dublin, Ireland",Sandycove,Dublin,,IE,"087 232 2440",,"health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 9:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 9:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 9:00 am – 8:00 pm
Sunday: Closed",http://www.essential-nutrition.ie/,53.286153,-6.118375,"Google Places",ChIJ4chwCTcGZ0gRwxznRw6-2Fk,
