Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"The Winton Practice","12 Winton Avenue, Rathgar, Co. Dublin, Ireland",Rathgar,Dublin,,IE,"(01) 490 5818",,"health, establishment",,http://www.wintonpractice.com/,53.314236,-6.274704,"Google Places",ChIJfVWl0AcMZ0gRICMywB9RU4U,
"Dun Laoghaire Clinic","21 Mellifont Avenue, Dun Laoghaire, Co. Dublin, Ireland","Dun Laoghaire",Dublin,,IE,"087 231 9113",,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.dunlaoghaireclinic.com/,53.290757,-6.130595,"Google Places",ChIJiUWq3CQGZ0gR1ha2X0FQ_q0,dublin_chiropractor.csv
"Blackrock Osteopaths","28 Lakelands Avenue, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"(01) 288 6514",,"health, establishment","Monday: 9:00 am – 5:30 pm
Tuesday: 9:00 am – 5:30 pm
Wednesday: 9:00 am – 5:30 pm
Thursday: 9:00 am – 5:30 pm
Friday: 9:00 am – 5:30 pm
Saturday: Closed
Sunday: Closed",http://www.blackrockosteopaths.ie/,53.282811,-6.216554,"Google Places",ChIJ9yni1xEJZ0gRc63CYS9xLOU,dublin_masseur.csv
"Osteopathic Life Clinic","12 Upper Gardiner St, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"087 669 7474",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 11:00 am – 2:00 pm
Sunday: 11:00 am – 2:30 pm",http://www.osteopathiclifeclinic.com/,53.357381,-6.259983,"Google Places",ChIJE3e5pogOZ0gRwKkv-LlIaI0,
"Karen Crookes - Dublin Osteopath","4 Cian Park, Dublin, Ireland",Dublin,Dublin,,IE,"086 309 1915",,"health, establishment",,http://www.irishosteopath.ie/,53.367768,-6.254419,"Google Places",ChIJcZg2YW8OZ0gR8I74vjyxVJw,
"Priory Clinic Stillorgan","18 Priory Hall, Stillorgan, Co. Dublin, Ireland",Stillorgan,Dublin,,IE,"1800 254 642",,"health, establishment","Monday: 7:00 am – 9:00 pm
Tuesday: 7:00 am – 9:00 pm
Wednesday: 7:00 am – 9:00 pm
Thursday: 7:00 am – 9:00 pm
Friday: 7:00 am – 9:00 pm
Saturday: Closed
Sunday: Closed",http://www.prioryclinic.com/,53.294169,-6.201953,"Google Places",ChIJ881E9B8JZ0gRFAT3coSyID8,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"PhysioCare Butterfield","1A Butterfield Ave, Dublin 14, Ireland","Dublin 14",Dublin,,IE,"(01) 531 0004",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.physio.ie/,53.293977,-6.308512,"Google Places",ChIJ3dcLg54LZ0gR0dH3hpw1M0I,"dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv"
"Dublin Osteopath","Pembroke Osteopathic Clinic Basement, 13 Pembroke Street Lower, Dublin 2, Ireland","Dublin 2","Co. Dublin",,IE,"(01) 233 4103",,"health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 4:30 pm
Thursday: Closed
Friday: 8:00 am – 7:00 pm
Saturday: Closed
Sunday: Closed",http://www.dublinosteopath.ie/,53.336683,-6.252456,"Google Places",ChIJFTCylLsOZ0gRG4Wkrn4DBGA,"dublin_chiropractor.csv
dublin_physiotherapist.csv"
"Osteopath Dublin - Castlewood Clinic","19 Castlewood Terrace, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 496 5999",,"health, establishment","Monday: 10:00 am – 5:00 pm
Tuesday: Closed
Wednesday: 10:00 am – 6:00 pm
Thursday: 10:00 am – 7:00 pm
Friday: Closed
Saturday: Closed
Sunday: Closed",http://www.castlewoodclinic.ie/,53.323702,-6.262571,"Google Places",ChIJaxVWSh0MZ0gRahVyXSQ2c1E,"dublin_acupuncturist.csv
dublin_chiropractor.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"Bodymechanics Osteopathic Practices (Southside)","303 Nutgrove Avenue, Dublin 14, Ireland","Dublin 14",Dublin,,IE,"087 230 9808",,"health, establishment",,http://www.bodymechanics.ie/,53.294249,-6.259187,"Google Places",ChIJQx5nTeALZ0gR81nUoleX3ks,
