Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Functional Training Ireland - Physiotherapy Dublin","29 Fitzwilliam Street Upper, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 662 9231",,"physiotherapist, health, establishment","Monday: 7:00 am – 9:00 pm
Tuesday: 7:00 am – 9:00 pm
Wednesday: 7:00 am – 9:00 pm
Thursday: 7:00 am – 9:00 pm
Friday: 7:00 am – 9:00 pm
Saturday: 9:00 am – 4:00 pm
Sunday: 10:00 am – 4:00 pm",http://functionaltraining.ie/,53.33583,-6.249738,"Google Places",ChIJMXAzw5cOZ0gRehbYp7HHj4M,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"West Wood Club","1 Saint John's Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 269 5764",,"gym, health, establishment","Monday: 6:00 am – 11:00 pm
Tuesday: 6:00 am – 11:00 pm
Wednesday: 6:00 am – 11:00 pm
Thursday: 6:00 am – 11:00 pm
Friday: 6:00 am – 11:00 pm
Saturday: 8:00 am – 9:00 pm
Sunday: 8:00 am – 9:00 pm",http://www.westwood.ie/,53.325632,-6.209443,"Google Places",ChIJrY333dcOZ0gRcC2hNlCkktM,dublin_pilates.csv
"Crossfit Perpetua","20 Sir John Rogerson's Quay, Dublin 2, Ireland","Dublin 2","Co. Dublin",,IE,"086 837 9903",,"gym, health, establishment",,http://www.crossfitdublin.ie/,53.346235,-6.243209,"Google Places",ChIJ2X17vMEIZ0gRZwS33DoBZgA,
"West Wood Club","Leopardstown Race Course, Foxrock, Dublin, Ireland",Dublin,"Co. Dublin",,IE,"(01) 289 3208",4,"gym, health, establishment",,http://www.westwood.ie/,53.264205,-6.194224,"Google Places",ChIJ8VG8u6wJZ0gRK22mvtFMb6Q,dublin_pilates.csv
"FLYEfit Gym Ranelagh","36 Ranelagh, Dublin 6, Ireland","Dublin 6",Dublin,,IE,,,"gym, health, establishment","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",http://www.flyefit.ie/,53.32573,-6.255089,"Google Places",ChIJc8NLx6UOZ0gRGesKK_OsXbg,
"Wild Geese Martial Arts","Magennis Place, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"085 872 6840",,"school, establishment","Monday: 4:00 – 10:00 pm
Tuesday: 4:00 – 10:00 pm
Wednesday: 4:00 – 10:00 pm
Thursday: 4:00 – 10:00 pm
Friday: 4:00 – 10:00 pm
Saturday: Closed
Sunday: 6:30 – 8:00 pm",http://www.wildgeesema.com/,53.344451,-6.248554,"Google Places",ChIJY5X4lpEOZ0gRTwzjMaw5uOE,
"SF Fitness Personal Fitness Centre","Unit B, Church Buildings, Church lane,, Rathfarnham, Co. Dublin, Ireland",Rathfarnham,Dublin,,IE,"(01) 490 0097",,"gym, health, establishment","Monday: 6:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 6:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 6:00 am – 2:00 pm
Saturday: 9:00 am – 1:00 pm
Sunday: Closed",http://www.sffitness.ie/,53.299971,-6.285358,"Google Places",ChIJRZ1-UDoGZ0gRZ58pGc8m9P8,
Be-fit,"Unit 2 Brookfield Terrace, Blackrock, Dublin, Ireland",Dublin,Dublin,,IE,"(01) 283 6367",,"gym, health, establishment",,http://www.be-fit.ie/,53.297541,-6.179796,"Google Places",ChIJL8atiMEIZ0gRMBh3XavIRTo,dublin_pilates.csv
"Gaya Tree","29 Carysfort Avenue, Blackrock, Co. Dublin, Ireland",,Dublin,,IE,"085 158 8756",,"health, establishment",,http://www.gaya-tree.com/,53.299923,-6.179446,"Google Places",ChIJyULW1sYIZ0gRFe1LXDI_d-o,dublin_masseur.csv
"énergie fitness Ballsbridge","The Oval, Shelbourne Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 678 1490",,"gym, health, establishment","Monday: 6:00 – 10:00 pm
Tuesday: 6:00 – 10:00 pm
Wednesday: 6:00 – 10:00 pm
Thursday: 6:00 – 10:00 pm
Friday: 6:00 am – 9:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: 9:00 am – 5:00 pm",http://www.energieforeverybody.ie/,53.331615,-6.231114,"Google Places",ChIJm_0jy8YOZ0gRdp_uXRYEWVw,
"Dynamic Fitness","Loreto Park, Nutgrove, Nutgrove, Dublin 14, Ireland","Dublin 14",Dublin,,IE,"086 359 6804",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: Closed",http://www.dynamicfitness.eu/,53.290309,-6.271905,"Google Places",ChIJLyJemcILZ0gRJWigqzd9IS0,
"Fitness Together Personal Training","8 The Appian Way, Ranelagh, Dublin 6, Co. Dublin, Ireland","Ranelagh, Dublin 6",Dublin,,IE,"(01) 496 5829",,"gym, health, establishment","Monday: 6:00 am – 9:30 pm
Tuesday: 6:00 am – 9:30 pm
Wednesday: 6:00 am – 9:30 pm
Thursday: 6:00 am – 9:30 pm
Friday: 6:00 am – 9:30 pm
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.fitnesstogether.ie/,53.326459,-6.249801,"Google Places",ChIJCwirKR0MZ0gRLiGWc9IxRAU,dublin_physical_therapist.csv
"Educogym Parnell St.","214, Ivy Exchange, Granby Place, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 878 3397",,"gym, health, establishment",,https://plus.google.com/112988629578992599662/about?hl=en,53.351947,-6.265168,"Google Places",ChIJn7DbbIEOZ0gRYR2821kloUw,
"Andy Kenny Fitness LTD","Unit 31, Trinity Enterprise Centre, Pearse Street, Dublin 2, Ireland","Dublin 2",,,IE,"085 728 2551",4.8,"health, establishment","Monday: 4:00 – 9:00 pm
Tuesday: 4:00 – 9:00 pm
Wednesday: 4:00 – 9:00 pm
Thursday: 4:00 – 9:00 pm
Friday: 4:00 – 9:00 pm
Saturday: 9:00 am – 3:00 pm
Sunday: Closed",http://www.andykennyfitness.ie/,53.342434,-6.239832,"Google Places",ChIJoeotaewOZ0gRKNoILKi1UWE,dublin_pilates.csv
"Tristan Hand Training","6-8 Pembroke Ln, Ballsbridge, Dublin 4, Co. Dublin, Ireland","Ballsbridge, Dublin 4",Dublin,,IE,"(01) 441 3933",,"health, gym, establishment","Monday: 3:00 – 10:00 pm
Tuesday: 3:00 – 10:00 pm
Wednesday: 3:00 – 10:00 pm
Thursday: 9:00 am – 8:00 pm
Friday: 8:00 am – 12:00 pm
Saturday: 3:00 – 10:00 pm
Sunday: 9:00 am – 8:00 pm",http://www.tristanhand.ie/,53.331103,-6.237069,"Google Places",ChIJeU1OqMAOZ0gRwMcZPsT02UY,
"Pilates Dublin . ie","Unit F1, Nutgrove Office Park, Rathfarnham - Dublin 14, Co. Dublin, Ireland","Rathfarnham - Dublin 14",Dublin,,IE,"086 173 6720",,"health, establishment","Monday: 7:00 am – 10:00 pm
Tuesday: 7:00 am – 10:00 pm
Wednesday: 7:00 am – 10:00 pm
Thursday: 7:00 am – 10:00 pm
Friday: 7:00 am – 6:00 pm
Saturday: 8:00 pm – 12:00 am
Sunday: 12:00 am – 4:00 pm",http://www.pilatesdublin.ie/,53.294274,-6.279387,"Google Places",ChIJwcpwwOsLZ0gRMy7AXGV20Bw,dublin_pilates.csv
"Forget The Gym","Sandymount, Dublin, Co. Dublin, Ireland","Sandymount, Dublin",Dublin,,IE,"086 239 1987",,"health, establishment",,http://www.forgetthegym.ie/,53.334768,-6.212768,"Google Places",ChIJwb__q98OZ0gRuNwMmm2lZ_o,
"Mint Fitness","Pembroke Cricket Club, Park Avenue, Sandymount, Dublin 4, Ireland","Dublin 4",Dublin,,IE,,,"health, establishment",,http://www.mintfitness.ie/,53.324625,-6.212735,"Google Places",ChIJcRAKPtcOZ0gRmfny8orqr5k,"dublin_nutritionist.csv
dublin_physical_therapist.csv"
"Excellence in Training","59 Rathgar Avenue, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"087 743 4599",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: 9:00 am – 9:00 pm",http://www.eitraining.ie/,53.313597,-6.275234,"Google Places",ChIJsSIpdQgMZ0gR-MndAWGnACI,
"Jay Farrant Strength & Conditioning","Essex Street East, Dublin, Ireland","Dublin City",Dublin,,IE,"085 196 9461",,"health, establishment","Monday: 7:00 am – 9:00 pm
Tuesday: 7:00 am – 9:00 pm
Wednesday: 7:00 am – 9:00 pm
Thursday: 7:00 am – 9:00 pm
Friday: 7:00 am – 9:00 pm
Saturday: Closed
Sunday: 9:00 am – 1:00 pm",http://jayfarrant.com/,53.344502,-6.266693,"Google Places",ChIJbbkq04IOZ0gRRe0ATg0n2SA,dublin_nutritionist.csv
FFS,"47 Leeson Street Lower, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 661 1008",,"gym, health, establishment","Monday: 6:30 am – 9:30 pm
Tuesday: 6:30 am – 9:30 pm
Wednesday: 6:30 am – 9:30 pm
Thursday: 6:30 am – 9:30 pm
Friday: 6:30 am – 9:30 pm
Saturday: 9:00 am – 3:00 pm
Sunday: 12:00 am – 2:00 pm",http://www.ffs.ie/,53.3329,-6.253812,"Google Places",ChIJEQrz5aIOZ0gRQrcJ_xj8yJE,dublin_nutritionist.csv
"Cover Model Body Personal Training","7 Fitzwilliam Street Upper, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 662 9723",4.9,"gym, health, establishment","Monday: 7:00 am – 10:00 pm
Tuesday: 7:00 am – 10:00 pm
Wednesday: 7:00 am – 10:00 pm
Thursday: 7:00 am – 10:00 pm
Friday: 7:00 am – 10:00 pm
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.darraghhayes.com/,53.336352,-6.249834,"Google Places",ChIJU0flxpcOZ0gR6vU_UHqH3ZA,
"Rob Smyth Personal Trainer Sandyford","Sandyford Road, Dublin, Ireland","Dun Laoghaire-Rathdown",Dublin,,IE,"087 411 9004",4.6,"health, gym, establishment","Monday: 6:00 am – 9:00 pm
Tuesday: 6:00 am – 9:00 pm
Wednesday: 6:00 am – 9:00 pm
Thursday: 6:00 am – 9:00 pm
Friday: 6:00 am – 9:00 pm
Saturday: Closed
Sunday: Closed",http://www.letstrain.ie/,53.275183,-6.231179,"Google Places",ChIJh3NqtA4JZ0gReEQqN3HoDsc,dublin_nutritionist.csv
"South Dublin Strength & Conditioning","10-11 Greenmount Avenue, Harolds Cross, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"086 864 9732",,"gym, health, establishment",,http://www.southdublinsc.ie/,53.328002,-6.278868,"Google Places",ChIJ7RQNrBAMZ0gRihghBlkOBXg,
"Mint Fitness","Terenure Sports Club, 54 Terenure Rd N, Dublin 6W, Co. Dublin, Ireland","Dublin 6W",Dublin,,IE,,,"health, establishment","Monday: Closed
Tuesday: 7:00 – 8:00 pm
Wednesday: Closed
Thursday: 7:00 – 8:00 pm
Friday: Closed
Saturday: Closed
Sunday: Closed",http://www.mintfitness.ie/,53.313198,-6.282452,"Google Places",ChIJq-oBIgoMZ0gRZj_AhTJUcqQ,dublin_physical_therapist.csv
"Better Body Gym & Fitness Studio","26, Phibsborough Place, Phibsborough Road, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 811 7499",,"gym, health, establishment","Monday: 6:30 am – 9:30 pm
Tuesday: 6:30 am – 9:30 pm
Wednesday: 6:30 am – 9:30 pm
Thursday: 6:30 am – 9:30 pm
Friday: 6:30 am – 9:30 pm
Saturday: 8:30 am – 6:30 pm
Sunday: 8:30 am – 6:30 pm",http://www.betterbody.ie/,53.361305,-6.272463,"Google Places",ChIJ03lWjXwOZ0gRIsBaWOQVOXk,
