Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Fitzwilliam Health Clinic","19 Fitzwilliam Square South, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 661 8949",,"physiotherapist, health, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.fitzwilliamhealth.ie/,53.3346,-6.251794,"Google Places",ChIJGTk1U70OZ0gRGoxPLnJB6xg,dublin_chiropractor.csv
"Grafton St Physiotherapy Clinic","34 Grafton Street, Dublin, Ireland","Dublin City",Dublin,,IE,"(01) 671 2122",,"physiotherapist, health, establishment","Monday: 9:00 am – 12:30 pm
Tuesday: Closed
Wednesday: 9:00 am – 4:30 pm
Thursday: Closed
Friday: 9:00 am – 4:30 pm
Saturday: Closed
Sunday: Closed",http://www.graftonstphysio.com/,53.341087,-6.260467,"Google Places",ChIJdf0oCpwOZ0gRzbu7pwxP9c0,dublin_physiotherapist.csv
"Functional Training Ireland - Physiotherapy Dublin","29 Fitzwilliam Street Upper, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 662 9231",,"physiotherapist, health, establishment","Monday: 7:00 am – 9:00 pm
Tuesday: 7:00 am – 9:00 pm
Wednesday: 7:00 am – 9:00 pm
Thursday: 7:00 am – 9:00 pm
Friday: 7:00 am – 9:00 pm
Saturday: 9:00 am – 4:00 pm
Sunday: 10:00 am – 4:00 pm",http://functionaltraining.ie/,53.33583,-6.249738,"Google Places",ChIJMXAzw5cOZ0gRehbYp7HHj4M,"dublin_masseur.csv
dublin_personal_trainer.csv
dublin_physiotherapist.csv"
"Irish Society Of Chartered Physiotherapists Ltd","Saint Stephen's Green, Dublin, Ireland",,Dublin,,IE,"(01) 402 2148",,"physiotherapist, health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.iscp.ie/,53.338713,-6.261764,"Google Places",ChIJq9Sh7J4OZ0gRBu4bDoVJ-iI,dublin_physiotherapist.csv
"Sandymount Physiotherapy Clinic","87A Sandymount Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 668 6819",,"physiotherapist, health, establishment","Monday: 7:30 am – 8:00 pm
Tuesday: 7:30 am – 8:00 pm
Wednesday: 7:30 am – 8:00 pm
Thursday: 7:30 am – 8:00 pm
Friday: 7:30 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.sandymountphysiotherapy.com/,53.332946,-6.216367,"Google Places",ChIJc53cn94OZ0gR7ODAQqZz-Qs,"dublin_physiotherapist.csv
dublin_pilates.csv"
"Physio Needs Ltd.","10 Bath Street, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 660 2808",,"physiotherapist, store, health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: Closed
Sunday: Closed",http://www.physioneeds.biz/,53.339608,-6.22297,"Google Places",ChIJPSUSSuYOZ0gROHAP7mVz1t4,"dublin_physiotherapist.csv
dublin_pilates.csv"
"back2balance - physiotherapy, acupuncture and massage clinc","La Fitness, 31 Palmerston Gardens, Dartry, Dublin 6, Co. Dublin, Ireland","Dartry, Dublin 6",Dublin,,IE,"086 242 5567",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.back2balance.ie/,53.31364,-6.261154,"Google Places",ChIJZ5c1HQAMZ0gR37vzQG85NNs,"dublin_masseur.csv
dublin_physiotherapist.csv"
"Temple Bar Physiotherapy - The Physio Company","Meeting House Square, Temple Bar, Dublin 2, Ireland",,,,IE,"(01) 679 9685",4.7,"physiotherapist, doctor, health, establishment","Monday: 7:30 am – 8:00 pm
Tuesday: 7:30 am – 8:00 pm
Wednesday: 7:30 am – 8:00 pm
Thursday: 7:30 am – 8:00 pm
Friday: 7:30 am – 8:00 pm
Saturday: 10:00 am – 5:00 pm
Sunday: 10:00 am – 4:00 pm",http://www.thephysiocompany.com/clinic/temple-bar/,53.344849,-6.265562,"Google Places",ChIJC939MZ0OZ0gRFqeYpCtJo10,"dublin_chiropodist.csv
dublin_masseur.csv
dublin_physiotherapist.csv
dublin_pilates.csv"
"Trinity Chiropractic & Natural Health Centre","4th floor, 12-14 College Green, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 672 9399",,"health, physiotherapist, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 10:00 am – 2:30 pm
Sunday: Closed",http://www.natbalchiro.com/,53.344159,-6.262175,"Google Places",ChIJpzSkvZwOZ0gR6-6FCbLNf0A,"dublin_chiropractor.csv
dublin_physiotherapist.csv
dublin_pilates.csv"
"Capel Medical Clinic Dr. Robert Dybkowski, Dr Ilona Izdebska, Orthopaedist, Walk in Medical Centre","138 Capel Street, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 551 1588",,"doctor, physiotherapist, dentist, health, establishment","Monday: 10:30 am – 7:00 pm
Tuesday: 10:30 am – 7:00 pm
Wednesday: 10:30 am – 7:00 pm
Thursday: 10:30 am – 7:00 pm
Friday: 10:30 am – 7:00 pm
Saturday: 10:30 am – 7:00 pm
Sunday: Closed",http://www.capelmedicalclinic.ie/,53.347885,-6.268667,"Google Places",ChIJOTLd_YIOZ0gR4Bes0KNOug0,
