Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Temple Bar Physiotherapy - The Physio Company","Meeting House Square, Temple Bar, Dublin 2, Ireland",,,,IE,"(01) 679 9685",4.7,"physiotherapist, doctor, health, establishment","Monday: 7:30 am – 8:00 pm
Tuesday: 7:30 am – 8:00 pm
Wednesday: 7:30 am – 8:00 pm
Thursday: 7:30 am – 8:00 pm
Friday: 7:30 am – 8:00 pm
Saturday: 10:00 am – 5:00 pm
Sunday: 10:00 am – 4:00 pm",http://www.thephysiocompany.com/clinic/temple-bar/,53.344849,-6.265562,"Google Places",ChIJC939MZ0OZ0gRFqeYpCtJo10,"dublin_chiropodist.csv
dublin_masseur.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"Ranelagh Physiotherapy - The Physio Company","22 Sandford Road, Ranelagh, Co. Dublin, Ireland",Ranelagh,Dublin,,IE,"(01) 679 9685",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.thephysiocompany.com/clinic/ranelagh/,53.322986,-6.248681,"Google Places",ChIJk2oXILAOZ0gR8xsXms0XSCo,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"Trinity Chiropractic & Natural Health Centre","4th floor, 12-14 College Green, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 672 9399",,"health, physiotherapist, establishment","Monday: 8:00 am – 7:00 pm
Tuesday: 8:00 am – 7:00 pm
Wednesday: 8:00 am – 7:00 pm
Thursday: 8:00 am – 7:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 10:00 am – 2:30 pm
Sunday: Closed",http://www.natbalchiro.com/,53.344159,-6.262175,"Google Places",ChIJpzSkvZwOZ0gR6-6FCbLNf0A,"dublin_chiropractor.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"The Balance Centre","73 Lower Leeson St, Dublin, Co. Dublin City, Ireland","Dublin City","Dublin City",,IE,"(01) 662 5977",,"physiotherapist, health, establishment",,http://balancecentre.goldenpages.ie/,53.334135,-6.254723,"Google Places",ChIJV0X68aIOZ0gRLtUlNe66J8s,dublin_physical_therapist.csv
"Active Physiotherapy and Acupuncture Clinic","112c Lower Baggot Street, Dublin 2, Dublin, Ireland",Dublin,,,IE,"(01) 678 7965",,"physiotherapist, health, establishment","Monday: 8:30 am – 6:00 pm
Tuesday: 8:30 am – 7:00 pm
Wednesday: 8:30 am – 6:00 pm
Thursday: 8:30 am – 7:30 pm
Friday: 8:30 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.dublinphysio.com/,53.336471,-6.248588,"Google Places",ChIJ0WaUypcOZ0gRmDRSDLXg3ek,dublin_physical_therapist.csv
"PhysioCare Butterfield","1A Butterfield Ave, Dublin 14, Ireland","Dublin 14",Dublin,,IE,"(01) 531 0004",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.physio.ie/,53.293977,-6.308512,"Google Places",ChIJ3dcLg54LZ0gR0dH3hpw1M0I,"dublin_osteopath.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"Mount Merrion Physiotherapy","105 Trees Road Upper, Mount Merrion, Co. Dublin, Ireland","Mount Merrion",Dublin,,IE,"(01) 283 4303",,"health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.mmphysiotherapy.com,53.291932,-6.215539,"Google Places",ChIJX6ulvBcJZ0gR2Pun1k1CTRE,"dublin_acupuncturist.csv
dublin_pilates.csv"
"Navan Road Physiotherapy - The Physio Company","Primary Care Centre The Deaf Village, Navan Road, Navan Road, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 679 9685",,"physiotherapist, health, establishment","Monday: 7:30 am – 8:00 pm
Tuesday: 7:30 am – 8:00 pm
Wednesday: 7:30 am – 8:00 pm
Thursday: 7:30 am – 8:00 pm
Friday: 7:30 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.thephysiocompany.com/clinic/dublin-navan-road/,53.363236,-6.302343,"Google Places",ChIJ-c5e6qQNZ0gRHj7fYQzoraw,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"back2balance - physiotherapy, acupuncture and massage clinc","La Fitness, 31 Palmerston Gardens, Dartry, Dublin 6, Co. Dublin, Ireland","Dartry, Dublin 6",Dublin,,IE,"086 242 5567",,"physiotherapist, health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: Closed
Sunday: Closed",http://www.back2balance.ie/,53.31364,-6.261154,"Google Places",ChIJZ5c1HQAMZ0gR37vzQG85NNs,"dublin_masseur.csv
dublin_physical_therapist.csv"
"Dublin Physiotherapy Clinic","11 The Business Centre, Stadium Business Park,, Ballycoolin Road, Dublin 11, Ireland","Dublin 11",Dublin,,IE,"(01) 882 9174",,"physiotherapist, health, establishment","Monday: 9:00 am – 6:00 pm
Tuesday: 9:00 am – 6:00 pm
Wednesday: 9:00 am – 6:00 pm
Thursday: 9:00 am – 6:00 pm
Friday: 9:00 am – 6:00 pm
Saturday: 9:00 am – 6:00 pm
Sunday: Closed",http://www.dublinphysio.ie/,53.400581,-6.340863,"Google Places",ChIJZ4CLVYcSZ0gRrWwK8ddqFcU,"dublin_masseur.csv
dublin_physical_therapist.csv"
