Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Live & Breathe Pilates","20 Camden Row, Dublin 8, Ireland","Dublin 8",Dublin,,IE,"(01) 554 9710",,"gym, health, establishment","Monday: 8:00 am – 9:00 pm
Tuesday: 8:00 am – 9:00 pm
Wednesday: 8:00 am – 9:00 pm
Thursday: 8:00 am – 9:00 pm
Friday: 8:00 am – 7:00 pm
Saturday: 10:00 am – 3:00 pm
Sunday: Closed",http://www.liveandbreathepilates.com/,53.336292,-6.268679,"Google Places",ChIJoU3Rjh8MZ0gRqIvTb1ogFQk,"dublin_personal_trainer.csv
dublin_physiotherapist.csv"
"Dublin Holistic Centre","28 South William St, Dublin 2, Ireland",,Dublin,,IE,"(01) 633 0063",,"health, establishment","Monday: 8:00 am – 10:00 pm
Tuesday: 8:00 am – 10:00 pm
Wednesday: 8:00 am – 10:00 pm
Thursday: 8:00 am – 10:00 pm
Friday: 8:00 am – 10:00 pm
Saturday: 8:00 am – 10:00 pm
Sunday: Closed",http://www.dublinholisticcentre.com/,53.341541,-6.263094,"Google Places",ChIJq5jig5wOZ0gRorA7PqnmV9c,"dublin_acupuncturist.csv
dublin_allergy.csv
dublin_aromatherapist.csv
dublin_masseur.csv
dublin_meditation.csv
dublin_reflexologist.csv
dublin_yoga.csv"
"Abbey Chiropractic and Wellness Center","46 Parnell Square West, Dublin 1, Ireland",,,,IE,"(01) 873 4363",,"health, establishment","Monday: 9:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 9:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 10:00 am – 2:00 pm
Sunday: Closed",http://www.abbeychiro.ie/,53.352512,-6.264265,"Google Places",ChIJ2_aoO4EOZ0gRJfYxdjY_AYQ,"dublin_chiropractor.csv
dublin_masseur.csv"
"Yoga Dublin Studios - Ranelagh","28A Dartmouth Rd, Ranelagh, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 412 6813",,establishment,"Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 8:00 pm
Saturday: 9:30 am – 8:30 pm
Sunday: 9:30 am – 12:30 pm",http://www.yogadublin.com/,53.329485,-6.258276,"Google Places",ChIJ8z-UWqEOZ0gRrENEb6t9lxA,"dublin_masseur.csv
dublin_yoga.csv"
"Pilates Plus Dublin","Rochestown Avenue, Dublin, Ireland","Dun Laoghaire-Rathdown",Dublin,,IE,"(01) 280 6120",,"gym, health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 7:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 8:00 pm
Friday: 9:00 am – 1:00 pm
Saturday: 10:00 am – 2:00 pm
Sunday: Closed",http://www.pilatesplusdublin.com/,53.280381,-6.157532,"Google Places",ChIJOcTHfCAGZ0gRUFGwBloJce0,
"Platinum Pilates Rathmines","302 Rathmines Road Lower, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 278 9313",,establishment,"Monday: 7:00 am – 10:00 pm
Tuesday: 7:00 am – 10:00 pm
Wednesday: 7:00 am – 10:00 pm
Thursday: 9:00 am – 10:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: 9:00 am – 1:00 pm",http://www.platinumpilates.ie/,53.322034,-6.265462,"Google Places",ChIJJ3uN5gIMZ0gRFIvXNpaBnLY,
"Reform Pilates Dublin","2C Main Street, Blackrock, Co. Dublin, Ireland",Blackrock,Dublin,,IE,"087 671 9670",,"health, establishment",,http://www.reformdublin.ie/,53.302083,-6.178243,"Google Places",ChIJt9pv28YIZ0gR9JwWCUB4XdE,
"Phibsboro Gym","Phibsborough Shopping Centre, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 830 1849",,"gym, health, establishment","Monday: 7:30 am – 9:30 pm
Tuesday: 9:30 am – 9:30 pm
Wednesday: 7:30 am – 9:30 pm
Thursday: 9:30 am – 9:30 pm
Friday: 7:30 am – 8:00 pm
Saturday: 10:00 am – 4:00 pm
Sunday: 11:00 am – 1:00 pm",http://phibsborogym.com/,53.361722,-6.273103,"Google Places",ChIJM39Z_dUNZ0gR6YeY5tV63k4,dublin_personal_trainer.csv
"Pilates Plus Dublin","11 William Street South, Dublin, Ireland",Dublin,Dublin,,IE,"087 909 2400",,"health, establishment","Monday: 9:00 am – 8:30 pm
Tuesday: 9:00 am – 8:30 pm
Wednesday: 9:00 am – 8:30 pm
Thursday: 9:00 am – 8:30 pm
Friday: 9:00 am – 8:00 pm
Saturday: 9:00 am – 2:00 pm
Sunday: Closed",http://www.pilatesplusdublin.ie/,53.342399,-6.262469,"Google Places",ChIJD8JqXpwOZ0gRUd8rEB1eB6w,"dublin_acupuncturist.csv
dublin_meditation.csv"
"D4 Pilates","Exhale Studio, Sandymount Road, Sandymount, Dublin 4, Ireland","Dublin 4",,,IE,"086 406 5866",,establishment,"Monday: 8:00 am – 10:00 pm
Tuesday: 8:00 am – 10:00 pm
Wednesday: 8:00 am – 10:00 pm
Thursday: 8:00 am – 10:00 pm
Friday: 8:00 am – 10:00 pm
Saturday: 8:00 am – 10:00 pm
Sunday: Closed",http://www.d4pilates.com/,53.332622,-6.21589,"Google Places",ChIJf4K6od4OZ0gRZvxKtv7t_vg,dublin_personal_trainer.csv
"The elbowroom","32 Brunswick Street North, Dublin, Ireland","Dublin City",Dublin,,IE,"(01) 677 9859",4.7,"gym, health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: 9:00 am – 9:00 pm",http://www.the-elbowroom.com/,53.35073,-6.280343,"Google Places",ChIJ2UddzS0MZ0gRQSbYw4AhGLU,"dublin_masseur.csv
dublin_meditation.csv
dublin_physiotherapist.csv
dublin_yoga.csv"
"Collins Avenue Physiotherapy,","138A Collins Avenue, dublin, Ireland",dublin,Dublin,,IE,"(01) 832 9625",,"health, establishment","Monday: 7:30 am – 8:00 pm
Tuesday: 7:30 am – 8:00 pm
Wednesday: 7:30 am – 1:00 pm
Thursday: 7:30 am – 8:00 pm
Friday: 7:30 am – 1:00 pm
Saturday: Closed
Sunday: Closed",http://www.dublinphysiotherapy.com/,53.377725,-6.224595,"Google Places",ChIJbxUINkoOZ0gRFoV8_1qBprk,"dublin_physical_therapist.csv
dublin_physiotherapist.csv"
"Liffey Trust Studios","Liffey Trust Centre, 117-126 Upper Sheriff Street, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 894 4927",4.6,"school, establishment",,http://www.liffeytruststudios.com/,53.349553,-6.23027,"Google Places",ChIJaciWV_AOZ0gRWdAaYoi2etg,dublin_yoga.csv
"BODYFIRM Pilates & Fitness Studios","@studio 14 Level 1, Prussia Street, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 868 4600",,"health, establishment","Monday: 8:00 am – 9:00 pm
Tuesday: 8:00 am – 9:00 pm
Wednesday: 8:00 am – 9:00 pm
Thursday: 8:00 am – 9:00 pm
Friday: 8:00 am – 9:00 pm
Saturday: 8:00 am – 12:00 pm
Sunday: Closed",http://www.bodyfirmpilates.com/,53.356359,-6.288127,"Google Places",ChIJ638cH80NZ0gRHQK0ydkzPf8,"dublin_personal_trainer.csv
dublin_physical_therapist.csv"
"Progressive Pilates Academy","Park Shopping Centre, Prussia St, Stoneybatter, Dublin 7, Ireland","Dublin 7",Dublin,,IE,"(01) 868 4600",,establishment,,http://www.bodyfirmpilates.com/,53.356558,-6.288267,"Google Places",ChIJ8xjUHc0NZ0gRJmEUcMS2YTU,"dublin_personal_trainer.csv
dublin_physical_therapist.csv"
"Pure Health","2-3 The Mall, Ongar, Dublin 15, Ireland",,,,IE,"(01) 440 4343",,"health, beauty_salon, establishment","Monday: 10:00 am – 9:00 pm
Tuesday: 10:00 am – 9:00 pm
Wednesday: 10:00 am – 9:00 pm
Thursday: 10:00 am – 9:00 pm
Friday: 10:00 am – 9:00 pm
Saturday: 10:00 am – 6:00 pm
Sunday: 9:30 am – 6:00 pm",http://www.purehealth.ie/,53.394971,-6.439222,"Google Places",ChIJf426jHttZ0gRwwqk2P-nZPs,"dublin_masseur.csv
dublin_physical_therapist.csv
dublin_reflexologist.csv
dublin_yoga.csv"
"Platinum Pilates Stillorgan","Level 2 The Old Church (Over Fruit World), Lower Kilmacud Road, Stillorgan, Co. Dublin, Ireland",Stillorgan,Dublin,,IE,"(01) 278 9313",,"health, establishment","Monday: 7:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 7:00 am – 9:00 pm
Thursday: 9:00 am – 10:00 pm
Friday: 9:00 am – 8:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: 9:00 am – 1:00 pm",http://www.platinumpilates.ie/,53.288882,-6.206266,"Google Places",ChIJXZvkqh4JZ0gR0rueGquvXH0,
