Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"Harvest Moon Centre","24 Baggot Street Lower, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 662 7556",,"health, establishment","Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 9:00 pm
Saturday: 11:00 am – 8:00 pm
Sunday: 11:00 am – 7:00 pm",http://www.harvestmoon.ie/,53.337669,-6.250849,"Google Places",ChIJdx5TnJcOZ0gR7FiAZEuFRfI,"dublin_aromatherapist.csv
dublin_masseur.csv
dublin_pilates.csv
dublin_yoga.csv"
"Nurture Therapies","55 Rock Road, Blackrock, Co. Dublin, Ireland",,Dublin,,IE,"087 126 7427",,"health, establishment",,http://www.nurturetherapies.ie/,53.306038,-6.18919,"Google Places",ChIJ96TjA9AIZ0gRuTHY2s6ZAD8,"dublin_aromatherapist.csv
dublin_physical_therapist.csv"
"Mai Thai Massage Dublin","41A Wellington Quay, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 250 8643",,"health, establishment","Monday: 10:00 am – 8:00 pm
Tuesday: 10:00 am – 8:00 pm
Wednesday: 10:00 am – 8:00 pm
Thursday: 10:00 am – 8:00 pm
Friday: 10:00 am – 8:00 pm
Saturday: 10:00 am – 8:00 pm
Sunday: 10:00 am – 8:00 pm",http://www.maithaimassage.ie/,53.345823,-6.263598,"Google Places",ChIJB7HRjIIOZ0gRrOozu0dBBm4,dublin_masseur.csv
"Anne Butler - Reflexologist","63 Beechwood Avenue Lower, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 412 6215",,"health, establishment","Monday: 9:00 am – 5:00 pm
Tuesday: 9:00 am – 5:00 pm
Wednesday: 9:00 am – 5:00 pm
Thursday: 9:00 am – 5:00 pm
Friday: 9:00 am – 5:00 pm
Saturday: 9:00 am – 5:00 pm
Sunday: Closed",http://www.complementary-therapists.com/irish-therapists/dublin/anne-butler.htm,53.323383,-6.254416,"Google Places",ChIJI3laaK8OZ0gRg-HsouRNdBw,"dublin_allergy.csv
dublin_osteopath.csv
dublin_physical_therapist.csv
dublin_pilates.csv"
"Dublin Holistic Massage","19 Talbot Street, Dublin 1, Ireland","Dublin 1","Co. Dublin",,IE,"085 774 7474",,"health, establishment","Monday: 9:00 am – 9:00 pm
Tuesday: 9:00 am – 9:00 pm
Wednesday: 9:00 am – 9:00 pm
Thursday: 9:00 am – 9:00 pm
Friday: 9:00 am – 9:00 pm
Saturday: 9:00 am – 9:00 pm
Sunday: 9:00 am – 9:00 pm",http://www.dublinholisticmassage.com/,53.350706,-6.25493,"Google Places",ChIJrVCRUY8OZ0gR7OWmnxfmUbs,dublin_masseur.csv
"Thai Well Centre","53 Ranelagh Village, Ranelagh, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 497 0888",,"health, establishment","Monday: 11:00 am – 8:00 pm
Tuesday: 11:00 am – 8:00 pm
Wednesday: 11:00 am – 8:00 pm
Thursday: 11:00 am – 8:00 pm
Friday: 11:00 am – 8:00 pm
Saturday: 11:00 am – 8:00 pm
Sunday: Closed",http://www.thaiwell.ie/,53.324619,-6.253709,"Google Places",ChIJpTKQXe0LZ0gRM8u921hx0rc,dublin_masseur.csv
Therap-Eaze,"25 Suffolk Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 194 1366",,"health, establishment","Monday: 8:00 am – 8:00 pm
Tuesday: 8:00 am – 8:00 pm
Wednesday: 8:00 am – 8:00 pm
Thursday: 8:00 am – 8:00 pm
Friday: 8:00 am – 8:00 pm
Saturday: 11:00 am – 5:00 pm
Sunday: Closed",http://www.therap-eaze.ie/,53.343553,-6.260352,"Google Places",ChIJq5jig5wOZ0gRy-7TygRflu0,dublin_masseur.csv
"Holistic Sensei Thai Massage and Spa","14 Exchequer Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"086 442 9356",,"health, establishment","Monday: 11:00 am – 8:00 pm
Tuesday: 11:00 am – 8:00 pm
Wednesday: 11:00 am – 8:00 pm
Thursday: 11:00 am – 8:00 pm
Friday: 11:00 am – 8:00 pm
Saturday: 11:00 am – 8:00 pm
Sunday: 12:00 – 8:00 pm",http://thaidublinmassage.blogspot.ie/,53.342958,-6.263388,"Google Places",ChIJ1aYI-pwOZ0gRfuruoXFC47A,dublin_masseur.csv
Amatouch,"46 Walkinstown Avenue, Dublin 12, Ireland","Dublin City",Dublin,,IE,"087 252 9456",,"health, establishment",,http://www.amatouch.com/,53.319988,-6.337662,"Google Places",ChIJPxfZnZAMZ0gRHJGEEnl2s-I,"dublin_aromatherapist.csv
dublin_masseur.csv"
"Nurture Therapies","Mount Carmel, 36 Rochestown Park, Dublin, Ireland",,,,IE,"087 126 7427",,"health, establishment",,http://www.nurturetherapies.ie/,53.270276,-6.139819,"Google Places",ChIJD7rwrXgIZ0gRIjB_dZbKd0Q,"dublin_aromatherapist.csv
dublin_masseur.csv
dublin_physical_therapist.csv"
