Name,"Full Address",City,County/State,Postcode,Country,"Telephone Number",Rating,Keywords,"Opening hours",URL,Latitude,Longitude,"Data Source","Data Source Identifer","Duplicated In"
"The Yoga Room","262 Merrion Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 219 6666",,establishment,,http://www.yoga.ie/,53.316924,-6.206496,"Google Places",ChIJb61bQ9UOZ0gRG0ahfw2cly0,"dublin_meditation.csv
dublin_pilates.csv"
"Dublin Buddhist Centre","5 James Joyce St, Dublin 1, Ireland","Dublin 1",Dublin,,IE,"(01) 817 8933",4.8,establishment,"Monday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Tuesday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Wednesday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Thursday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Friday: 12:30 – 2:00 pm, 3:00 – 6:00 pm
Saturday: Closed
Sunday: Closed",http://www.dublinbuddhistcentre.org/,53.351947,-6.253559,"Google Places",ChIJjw8GxogOZ0gR7SpDnDI8zKk,dublin_meditation.csv
"Yoga Dublin Studios - Ranelagh","28A Dartmouth Rd, Ranelagh, Dublin 6, Ireland","Dublin 6",Dublin,,IE,"(01) 412 6813",,establishment,"Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 8:00 pm
Saturday: 9:30 am – 8:30 pm
Sunday: 9:30 am – 12:30 pm",http://www.yogadublin.com/,53.329485,-6.258276,"Google Places",ChIJ8z-UWqEOZ0gRrENEb6t9lxA,"dublin_masseur.csv
dublin_pilates.csv"
Samadhi,"Temple Bar, Dublin, Ireland","Dublin City",Dublin,,IE,"087 135 3095",,establishment,"Monday: 6:30 am – 8:00 pm
Tuesday: 6:30 am – 8:00 pm
Wednesday: 6:30 am – 8:00 pm
Thursday: 6:30 am – 8:00 pm
Friday: 6:30 am – 8:00 pm
Saturday: 10:00 am – 4:00 pm
Sunday: 10:00 am – 7:30 pm",http://www.samadhi.ie/,53.344236,-6.268805,"Google Places",ChIJd-uB-icMZ0gRyts5yhII3kA,
"Bikram Yoga","E4, Sandyford Industrial Estate, Three Rock Road, Dublin 18, Ireland","Dublin 18","Co. Dublin",,IE,"(01) 293 3972",,establishment,,http://www.yogabikram.ie,53.274846,-6.210379,"Google Places",ChIJzbRmfQgJZ0gRChu0McCKnkw,
"Harvest Moon Centre","24 Baggot Street Lower, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"(01) 662 7556",,"health, establishment","Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 9:00 pm
Saturday: 11:00 am – 8:00 pm
Sunday: 11:00 am – 7:00 pm",http://www.harvestmoon.ie/,53.337669,-6.250849,"Google Places",ChIJdx5TnJcOZ0gR7FiAZEuFRfI,"dublin_aromatherapist.csv
dublin_masseur.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Dublin Holistic Centre","28 South William St, Dublin 2, Ireland",,Dublin,,IE,"(01) 633 0063",,"health, establishment","Monday: 8:00 am – 10:00 pm
Tuesday: 8:00 am – 10:00 pm
Wednesday: 8:00 am – 10:00 pm
Thursday: 8:00 am – 10:00 pm
Friday: 8:00 am – 10:00 pm
Saturday: 8:00 am – 10:00 pm
Sunday: Closed",http://www.dublinholisticcentre.com/,53.341541,-6.263094,"Google Places",ChIJq5jig5wOZ0gRorA7PqnmV9c,"dublin_acupuncturist.csv
dublin_allergy.csv
dublin_aromatherapist.csv
dublin_masseur.csv
dublin_meditation.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Melt Natural Healing Centre","2 Temple Lane South, Dublin 2, Ireland","Dublin 2","Co. Dublin",,IE,"(01) 679 8786",,"beauty_salon, health, establishment","Monday: 9:30 am – 9:00 pm
Tuesday: 9:30 am – 9:00 pm
Wednesday: 9:30 am – 9:00 pm
Thursday: 9:30 am – 9:00 pm
Friday: 9:30 am – 9:00 pm
Saturday: 10:00 am – 7:00 pm
Sunday: 10:00 am – 7:00 pm",http://www.meltonline.com/,53.34453,-6.264382,"Google Places",ChIJrS-91JwOZ0gRtm7P7ZgrLCM,"dublin_acupuncturist.csv
dublin_aromatherapist.csv
dublin_herbalist.csv
dublin_masseur.csv
dublin_physical_therapist.csv
dublin_physiotherapist.csv
dublin_pilates.csv
dublin_reflexologist.csv"
"Init Yoga: Hot Yoga, Cool Studio","48 Ringsend Road, Dublin 4, Ireland","Dublin 4",Dublin,,IE,"(01) 667 6008",4.6,establishment,"Monday: 6:00 – 8:00 am, 3:30 – 9:30 pm
Tuesday: 6:00 – 8:00 am, 9:30 – 11:30 am, 5:00 – 9:00 pm
Wednesday: 6:00 – 8:00 am, 3:30 – 9:30 pm
Thursday: 6:00 – 8:00 am, 9:30 – 11:30 am, 5:00 – 9:00 pm
Friday: 6:00 – 8:00 am, 3:00 – 7:30 pm
Saturday: 8:30 am – 12:30 pm, 3:30 – 5:30 pm
Sunday: 8:30 am – 12:30 pm, 3:30 – 5:30 pm",http://www.inityoga.ie/,53.341759,-6.231924,"Google Places",ChIJs37YAOwOZ0gRGfZJ61E0ej8,
"Dublin City Bikram Yoga","2nd Floor, 56-58 Drury Street, Dublin 2, Ireland","Dublin 2",Dublin,,IE,"085 979 5075",,establishment,,http://www.dublincitybikramyoga.com/,53.34193,-6.263322,"Google Places",ChIJLYcvTJwOZ0gReRWZGmfXt9Q,
